Filename,Encodings
00034955.jpg,-0.04094444960355759 0.03443954139947891 0.0543387345969677 -0.0012200921773910522 -0.03619039058685303 -0.012784682214260101 0.05684027448296547 -0.1107453852891922 0.20451942086219788 -0.09106896072626114 0.09367551654577255 -0.0031414348632097244 -0.3560904264450073 -0.016119956970214844 0.010552987456321716 0.06424036622047424 -0.15628677606582642 -0.11011674255132675 -0.10119710862636566 -0.12322190403938293 0.071257084608078 0.04989790916442871 0.08151450753211975 -0.0716647058725357 -0.25196918845176697 -0.2011307328939438 -0.09399515390396118 -0.09158159792423248 0.028392009437084198 -0.05190478265285492 -0.030708622187376022 0.11753373593091965 -0.14028620719909668 -0.019273094832897186 0.06817927956581116 0.07449020445346832 -0.03594166040420532 -0.07715865224599838 0.17803430557250977 -0.03600623086094856 -0.1310635507106781 -0.03625132143497467 0.022066213190555573 0.14749592542648315 0.19309674203395844 -0.02012678235769272 0.03306347876787186 -0.10737545788288116 0.08152838796377182 -0.28592851758003235 0.08592818677425385 0.15546292066574097 -0.020127559080719948 0.13834907114505768 0.084601029753685 -0.22991597652435303 -0.04850900173187256 0.193770170211792 -0.1392270028591156 0.1030815988779068 0.08172192424535751 -0.12889961898326874 -0.06402714550495148 -0.015467330813407898 0.06189979612827301 0.06868565082550049 -0.1228223443031311 -0.18650773167610168 0.1555246114730835 -0.2031397521495819 -0.022521324455738068 0.10253185033798218 -0.08607396483421326 -0.18087925016880035 -0.18887880444526672 0.014896869659423828 0.3425784409046173 0.14907306432724 -0.09627792239189148 0.040724415332078934 -0.13890862464904785 -0.012555498629808426 0.03489004820585251 0.008864253759384155 -0.026191357523202896 -0.007977783679962158 -0.0830824077129364 0.02594907581806183 0.21693621575832367 -0.04783108830451965 -0.038888465613126755 0.2568342685699463 -0.002695072442293167 -0.004238426685333252 0.024278972297906876 0.01924268901348114 -0.09560862928628922 -0.029473498463630676 -0.11683652549982071 -0.040325604379177094 0.03622414171695709 -0.1819974184036255 -0.01929207146167755 0.08511359989643097 -0.1568737030029297 0.1658300757408142 -0.020345747470855713 -0.015097010880708694 -0.015883952379226685 -0.09928521513938904 -0.10843214392662048 0.054232098162174225 0.19098323583602905 -0.3350430727005005 0.20383220911026 0.19604015350341797 0.03637748584151268 0.17791897058486938 0.024623945355415344 0.08418988436460495 0.050235651433467865 -0.0221576988697052 -0.14637090265750885 -0.09340187907218933 0.03089933842420578 0.04076589643955231 -0.020653828978538513 0.03635668754577637
00034028.jpg,-0.15986324846744537 0.15423183143138885 0.04975917562842369 -0.07235436886548996 -0.1810591220855713 -0.003250338137149811 -0.09207074344158173 -0.1479734480381012 0.23260657489299774 -0.0808098241686821 0.15687108039855957 0.023212656378746033 -0.26276320219039917 -0.013355221599340439 -0.12190034985542297 0.1404314637184143 -0.20353078842163086 -0.17235067486763 -0.003765661269426346 -0.06294474005699158 0.07944738119840622 0.1112881749868393 0.03851023688912392 0.07058048248291016 -0.09338227659463882 -0.2784362733364105 -0.023629892617464066 -0.1204105094075203 0.032677605748176575 -0.0427565723657608 0.010179806500673294 0.09676582366228104 -0.14910200238227844 -0.016236573457717896 0.017416946589946747 0.155061274766922 -0.06966283917427063 -0.06359744071960449 0.23068195581436157 0.058659378439188004 -0.2545437216758728 0.00557592511177063 0.04916822910308838 0.24893322587013245 0.26871752738952637 -0.012773536145687103 0.028459493070840836 -0.12099844217300415 0.2305874228477478 -0.3198416233062744 0.030437501147389412 0.1743478775024414 0.15697243809700012 0.024666719138622284 0.07562616467475891 -0.23972277343273163 0.004412591457366943 0.11739560961723328 -0.23716193437576294 0.0726664662361145 0.11695705354213715 -0.18744266033172607 -0.00039536459371447563 -0.03050362318754196 0.20461410284042358 0.14069390296936035 -0.07123808562755585 -0.18165384232997894 0.21997302770614624 -0.19997791945934296 -0.07934760302305222 0.24394211173057556 -0.05275368317961693 -0.17424674332141876 -0.1720348298549652 0.019381746649742126 0.4313289523124695 0.151932030916214 -0.09495405852794647 0.032536737620830536 -0.05797924846410751 -0.03641100972890854 -0.0032513290643692017 0.10935956239700317 -0.06833194196224213 -0.029439963400363922 -0.17728254199028015 -0.0675569623708725 0.24203556776046753 -0.026791714131832123 -0.0018029585480690002 0.31068745255470276 0.07583393156528473 0.06085069477558136 0.06530643999576569 0.05385695397853851 -0.15003487467765808 0.0016333609819412231 -0.12942984700202942 -0.09990575909614563 -0.03791680932044983 -0.09543871879577637 0.02194353938102722 0.01066029816865921 -0.1304074078798294 0.14371901750564575 -0.10826089233160019 0.002201337367296219 -0.09407997876405716 -0.14130231738090515 -0.007565692067146301 0.05302789807319641 0.2065335214138031 -0.23646068572998047 0.1917940080165863 0.04775243252515793 0.053662702441215515 0.21759237349033356 0.0864882841706276 0.07947337627410889 -0.014660298824310303 -0.13133734464645386 -0.11494342982769012 -0.08904726803302765 0.053888265043497086 -0.07953396439552307 0.07894137501716614 0.04252001643180847
00032465.jpg,-0.15139202773571014 0.036299288272857666 0.050316888839006424 -0.029355105012655258 -0.157974973320961 -0.04029987007379532 -0.07200577110052109 -0.16459712386131287 0.06423093378543854 -0.09562401473522186 0.1692516803741455 -0.01989581063389778 -0.18666213750839233 -0.08201544731855392 0.04587402194738388 0.15698599815368652 -0.1182255744934082 -0.16617132723331451 -0.0768866017460823 -0.04938403517007828 0.0626428872346878 0.020643597468733788 -0.011270087212324142 0.09335421770811081 -0.15699701011180878 -0.2942363917827606 -0.144231379032135 -0.08010780811309814 0.0688713788986206 -0.06470094621181488 -0.10432332754135132 -0.005442023277282715 -0.17344607412815094 -0.08578918874263763 0.04189600050449371 0.14134374260902405 0.016870655119419098 -0.0639483854174614 0.17831990122795105 0.03737032786011696 -0.22792288661003113 0.06110033392906189 0.049046456813812256 0.2363888919353485 0.19752301275730133 0.023293964564800262 0.07697246968746185 0.010579347610473633 0.13651713728904724 -0.19564220309257507 0.08421499282121658 0.07890390604734421 0.20823121070861816 0.020979702472686768 0.01337357610464096 -0.20317018032073975 -0.032287538051605225 0.1795877069234848 -0.21604469418525696 0.13739123940467834 0.06429727375507355 -0.15942789614200592 -0.025759823620319366 -0.024246782064437866 0.14572034776210785 0.14123955368995667 -0.09815769642591476 -0.19132177531719208 0.12945961952209473 -0.14963586628437042 -0.06316175311803818 0.04185071215033531 -0.15228700637817383 -0.15347671508789062 -0.31160083413124084 0.020087480545043945 0.4106210470199585 0.09405272454023361 -0.2481798231601715 -0.00106874480843544 -0.020837662741541862 -0.014741368591785431 0.048728808760643005 0.07138170301914215 0.0005331672728061676 0.01948581635951996 -0.13513855636119843 0.024878859519958496 0.2314155101776123 -0.029599636793136597 0.011760467663407326 0.21703605353832245 0.01036391407251358 0.06582474708557129 0.04428871348500252 0.09581506997346878 -0.10459176450967789 -0.02766217663884163 -0.05543354153633118 -0.016574963927268982 0.005950674414634705 -0.09704452753067017 0.0334257036447525 0.05249436944723129 -0.17132458090782166 0.20365095138549805 -0.028283260762691498 0.02300477772951126 -0.11554998904466629 -0.02090536057949066 -0.12501884996891022 0.030273914337158203 0.179494708776474 -0.20704954862594604 0.1955685019493103 0.24089089035987854 -0.01738460175693035 0.13532386720180511 0.08553999662399292 0.01965850591659546 0.01953326165676117 -0.0045693665742874146 -0.16518697142601013 -0.0981316938996315 0.06342203915119171 -0.09740297496318817 0.10968799889087677 0.08678974956274033
00032303.jpg,
00035849.jpg,
00033579.jpg,
00034389.jpg,
00032934.jpg,-0.20224303007125854 0.10828526318073273 0.06686675548553467 -0.07711030542850494 -0.029097795486450195 -0.03568734601140022 0.007939524948596954 -0.07392105460166931 0.14699238538742065 -0.009621556848287582 0.2743247449398041 -0.0025747492909431458 -0.2553543448448181 -0.049903832376003265 -0.02685978263616562 0.1243879422545433 -0.1873786896467209 -0.15344132483005524 -0.0017415769398212433 -0.12553659081459045 0.09792128205299377 0.0037394030950963497 -0.018335089087486267 0.09320971369743347 -0.08166228234767914 -0.28401896357536316 -0.09736885875463486 -0.1333657205104828 0.07212402671575546 -0.07910630106925964 -0.0009175445884466171 -0.08443321287631989 -0.1974722445011139 -0.05448739230632782 -0.0009501352906227112 0.09131777286529541 -0.0032776370644569397 -0.1217271238565445 0.19990025460720062 -0.04782296344637871 -0.06223919242620468 -0.07034477591514587 0.0666642040014267 0.27760863304138184 0.13511914014816284 0.011274337768554688 0.05760035663843155 0.05175584554672241 0.07051250338554382 -0.27033379673957825 0.07215413451194763 0.09920250624418259 0.24408040940761566 0.05863285809755325 0.03345806151628494 -0.18640759587287903 -0.03983849287033081 0.13138048350811005 -0.18667419254779816 0.14550311863422394 0.06590195745229721 -0.08076561987400055 -0.04670151323080063 -0.06831236183643341 0.26967382431030273 0.14932464063167572 -0.19327852129936218 -0.12739627063274384 0.10640151798725128 -0.13807983696460724 -0.0584239698946476 0.03358369320631027 -0.1184546947479248 -0.17089757323265076 -0.24158184230327606 0.09746751189231873 0.3710745573043823 0.127450093626976 -0.18637140095233917 0.01130317896604538 -0.10948247462511063 0.06399492919445038 0.02440541982650757 0.020184993743896484 -0.07535813748836517 0.04921897500753403 -0.1795392632484436 0.02243936061859131 0.171441450715065 -0.013530924916267395 -0.08247256278991699 0.1922319233417511 -0.061177488416433334 0.07287818938493729 0.0036986544728279114 0.09487047791481018 -0.03895924240350723 -0.005108613520860672 -0.02732345275580883 0.06964681297540665 0.01777176558971405 -0.07622039318084717 0.0060627758502960205 0.049504369497299194 -0.12125494331121445 0.06236926466226578 -0.03543533384799957 0.03989310562610626 -0.08348751068115234 0.03108268976211548 -0.16191162168979645 -0.022587254643440247 0.14079859852790833 -0.2914803624153137 0.2063506841659546 0.19802874326705933 -0.0589236244559288 0.16653430461883545 0.05667712539434433 0.05379144847393036 0.04555465281009674 -0.045158982276916504 -0.12453203648328781 -0.09317820519208908 0.020116254687309265 -0.016983553767204285 0.08979405462741852 0.06093469262123108
00033425.jpg,
00035040.jpg,
