Filename,Encodings
00033784.jpg,-0.043466292321681976 0.12879830598831177 0.12816773355007172 -0.01882622390985489 -0.06503003090620041 0.007323525846004486 -0.09452010691165924 -0.08810997009277344 0.11938782781362534 -0.046703338623046875 0.2797899544239044 -0.006832897663116455 -0.2034010887145996 -0.06653140485286713 -0.03159492462873459 0.05531223118305206 -0.15140557289123535 -0.08571413159370422 -0.10002119094133377 -0.036220863461494446 0.05477879196405411 0.08036468923091888 0.08187340199947357 0.040720656514167786 -0.12168977409601212 -0.4032096862792969 -0.0904349833726883 -0.07782312482595444 0.08362556248903275 -0.2030736654996872 -0.02384500950574875 0.004429198801517487 -0.17589733004570007 0.014544755220413208 -0.04016155004501343 0.016581377014517784 -0.11164121329784393 -0.12027836591005325 0.24019429087638855 0.03399735689163208 -0.2234376072883606 0.035676971077919006 -0.06239159405231476 0.23279908299446106 0.22943373024463654 -0.03604653850197792 0.0024051330983638763 -0.09758317470550537 0.1325705349445343 -0.2066560685634613 0.06694656610488892 0.29184961318969727 0.06972374767065048 0.08699291199445724 0.07205599546432495 -0.08746367692947388 0.017503678798675537 0.09444787353277206 -0.14051789045333862 0.02019217610359192 0.05185128003358841 -0.09880323708057404 0.025938257575035095 -0.040387868881225586 0.03668440878391266 0.07736431807279587 -0.08780010044574738 -0.14981938898563385 0.05882096663117409 -0.1483430117368698 -0.06963703781366348 0.09374956041574478 -0.12527254223823547 -0.24176788330078125 -0.277776837348938 0.06097874045372009 0.3568311929702759 0.1475204974412918 -0.24808746576309204 0.02033470943570137 -0.056253980845212936 -0.05448424443602562 0.09441088140010834 0.10589392483234406 -0.11686393618583679 0.011307433247566223 -0.13405738770961761 0.07600557804107666 0.14145205914974213 -0.003151804208755493 -0.061748750507831573 0.2360059916973114 -0.01404518261551857 0.09434553235769272 0.11358389258384705 0.10677556693553925 -0.11303342878818512 0.027822166681289673 -0.11297835409641266 0.05817320942878723 0.06406363099813461 -0.06745721399784088 -0.05923876166343689 0.06519918143749237 -0.11436674743890762 0.24968554079532623 0.03686152398586273 -0.020926378667354584 -0.003895379602909088 -0.06450650095939636 -0.11532720923423767 0.004403367638587952 0.16473469138145447 -0.2426891028881073 0.23513826727867126 0.15020805597305298 0.05199055001139641 0.1745685189962387 0.13545605540275574 0.06633543223142624 -0.0616442933678627 -0.0635191947221756 -0.13626916706562042 -0.07830135524272919 0.03622978925704956 0.019761934876441956 0.03351737558841705 -0.030451547354459763
00033974.jpg,-0.10987958312034607 0.10327773541212082 0.035541750490665436 -0.1071474552154541 -0.12988612055778503 0.05415763333439827 -0.14523164927959442 -0.10694843530654907 0.12930893898010254 -0.13183414936065674 0.26991891860961914 0.02458323910832405 -0.25489166378974915 -0.09397342801094055 0.01947714388370514 0.08649908751249313 -0.1841939389705658 -0.1465328186750412 0.06241978704929352 0.007863044738769531 0.04687036573886871 -0.01716429553925991 0.01119367778301239 0.022106699645519257 -0.18815726041793823 -0.31307297945022583 -0.12188176810741425 -0.10695435106754303 -0.01552073284983635 -0.08880046010017395 -0.03908415883779526 0.023428775370121002 -0.16891124844551086 0.004011109471321106 -0.013449326157569885 0.07268999516963959 -0.06451158225536346 -0.07673680037260056 0.20527268946170807 -0.002028397750109434 -0.18195244669914246 0.004326030611991882 -0.021738514304161072 0.22327661514282227 0.16608655452728271 -0.05801808834075928 0.04074331745505333 -0.1031840592622757 0.10324040800333023 -0.2446645051240921 0.12762439250946045 0.2299233078956604 0.11857917904853821 0.04760344326496124 0.018241368234157562 -0.11652462184429169 0.02825579047203064 0.1504601389169693 -0.22735914587974548 0.028985727578401566 0.06385110318660736 0.020564481616020203 -0.024763843044638634 -0.04621565341949463 0.18509851396083832 0.17125765979290009 -0.1759597361087799 -0.1327599734067917 0.11833345144987106 -0.07867056131362915 -0.07879089564085007 0.0945589542388916 -0.17455121874809265 -0.28085386753082275 -0.2543618083000183 0.06289014220237732 0.358089804649353 0.14765548706054688 -0.19272169470787048 0.026042688637971878 -0.09041842818260193 -0.11079143732786179 0.029499024152755737 0.08693176507949829 -0.05694347620010376 -0.010862484574317932 -0.047130946069955826 0.10971830785274506 0.18648886680603027 -0.009487271308898926 -0.02855852246284485 0.26027998328208923 0.04236102104187012 0.053449325263500214 0.06527761369943619 0.15320998430252075 -0.011815935373306274 -0.033859800547361374 -0.12498068809509277 0.020456835627555847 0.018338873982429504 -0.10728787630796432 -0.0643494576215744 0.1338852494955063 -0.19592580199241638 0.2126343846321106 0.050166770815849304 -0.03454461693763733 -0.0401948019862175 -0.08482097089290619 -0.08088409900665283 0.006497859954833984 0.15108105540275574 -0.3013889193534851 0.17340204119682312 0.13122904300689697 0.08526501804590225 0.16491281986236572 0.09080389142036438 -0.0008716732263565063 -0.0007336437702178955 -0.15169993042945862 -0.19264236092567444 -0.0705665573477745 0.044537756592035294 -0.014789678156375885 0.054255411028862 0.03436845541000366
00033383.jpg,-0.10406449437141418 0.12040725350379944 0.060167934745550156 -0.017751291394233704 -0.1343212127685547 -0.021205797791481018 -0.08664743602275848 -0.10139576345682144 0.15058979392051697 -0.08560004085302353 0.20796796679496765 0.03839898854494095 -0.23736611008644104 -0.08410513401031494 0.026043958961963654 0.10035564005374908 -0.07729129493236542 -0.10123012214899063 -0.11932510137557983 -0.06831371039152145 0.0015430664643645287 0.025448298081755638 0.0465582050383091 0.0534537211060524 -0.10956046730279922 -0.2943512797355652 -0.1454806923866272 -0.06565601378679276 0.10741282999515533 -0.16385425627231598 -0.06060819700360298 0.04796237498521805 -0.09270234405994415 -0.08193103969097137 0.04349210113286972 0.04544807970523834 -0.06240300089120865 -0.1089729443192482 0.23696936666965485 0.018812553957104683 -0.16066056489944458 -0.013005971908569336 0.049665018916130066 0.2243311107158661 0.2682322561740875 0.0013987096026539803 0.04657762125134468 -0.12222300469875336 0.16455873847007751 -0.21462033689022064 0.11300018429756165 0.15844927728176117 0.19686079025268555 0.10069969296455383 0.12103506922721863 -0.1652873456478119 0.04573047161102295 0.17224636673927307 -0.23734168708324432 0.044411543756723404 0.02377854287624359 -0.09456130862236023 -0.10364429652690887 -0.00790075957775116 0.1258758306503296 0.14955034852027893 -0.09503388404846191 -0.18968753516674042 0.15506981313228607 -0.20920971035957336 -0.060951877385377884 0.1315719187259674 -0.09602735191583633 -0.19868628680706024 -0.26438185572624207 0.04965224862098694 0.3436660170555115 0.23505932092666626 -0.2458888441324234 0.031238030642271042 -0.013101231306791306 -0.09332375228404999 0.02018052339553833 0.11241498589515686 -0.1460741013288498 -0.06834379583597183 -0.05958661064505577 -0.024550318717956543 0.13619133830070496 0.02846919745206833 -0.0011084675788879395 0.2614215314388275 0.09987130761146545 0.046590469777584076 0.08818814158439636 0.054243408143520355 -0.10192399471998215 -0.06866107136011124 -0.09515678882598877 -0.0773351863026619 0.04954569786787033 -0.09717897325754166 0.001612648367881775 0.060438379645347595 -0.19423754513263702 0.22780132293701172 -0.012080579996109009 -0.014782749116420746 -0.014149203896522522 -0.08969974517822266 -0.048363860696554184 -0.0006299018859863281 0.1738141030073166 -0.2890518307685852 0.12598952651023865 0.15449190139770508 0.012157119810581207 0.16276046633720398 0.09115350246429443 0.10902655124664307 0.03332478553056717 -0.06365344673395157 -0.08658162504434586 -0.06812739372253418 0.05769363418221474 -0.08667159080505371 0.021591603755950928 0.013403870165348053
00032923.jpg,
00035296.jpg,-0.020380720496177673 0.12413594126701355 0.07020685076713562 -0.0566183440387249 -0.03063850849866867 0.0605507455766201 -0.04733694717288017 -0.11927694082260132 0.16156408190727234 -0.0865398421883583 0.25487184524536133 -0.002625584602355957 -0.2419007420539856 -0.0640430748462677 0.06292617321014404 0.12219126522541046 -0.20070001482963562 -0.03827451169490814 -0.16439801454544067 -0.12388024479150772 0.0008201133459806442 0.03346219286322594 0.06762339174747467 -0.06943421810865402 -0.18846195936203003 -0.334526002407074 -0.075274258852005 -0.08743473887443542 -0.0011012447066605091 -0.08525054156780243 -0.0002565402537584305 -0.002171248197555542 -0.20314934849739075 -0.07454627752304077 -0.008896306157112122 0.04397125914692879 -0.11744830012321472 -0.042793698608875275 0.1793539822101593 0.0321313701570034 -0.10813559591770172 0.08462727069854736 -0.006273098289966583 0.22846777737140656 0.21888458728790283 -0.02496185526251793 0.04238701984286308 -0.03120669722557068 0.07007497549057007 -0.26989173889160156 0.06362947821617126 0.13957424461841583 0.10106251388788223 0.10803227871656418 0.08885881304740906 -0.04436196759343147 -0.037956297397613525 0.17201581597328186 -0.13642022013664246 0.09930970519781113 0.14523953199386597 -0.1419869363307953 -0.04772109538316727 -0.03758452832698822 0.13309690356254578 0.14889073371887207 -0.12393863499164581 -0.13689595460891724 0.05442466214299202 -0.09582079946994781 -0.07274146378040314 0.0015870444476604462 -0.12751884758472443 -0.18113112449645996 -0.3635216951370239 0.0632944405078888 0.3163091540336609 0.11911819130182266 -0.2103659212589264 -0.09123510867357254 -0.0760776698589325 0.03632591664791107 0.10896245390176773 0.07114420086145401 0.008755657821893692 -0.07243886590003967 -0.02864854782819748 0.0811210423707962 0.16357724368572235 -0.06863344460725784 -0.07348530739545822 0.25088462233543396 -0.01889101043343544 0.017733275890350342 -0.019543295726180077 0.055202312767505646 -0.06947648525238037 -0.04239392653107643 -0.09399817883968353 0.07712961733341217 -0.004607781767845154 -0.07193385064601898 0.005503073334693909 0.10148222744464874 -0.11852993071079254 0.16776184737682343 -0.018550023436546326 -0.00527598150074482 0.03661265969276428 -0.006839007139205933 -0.08070863038301468 -0.05623474717140198 0.164463609457016 -0.2746925354003906 0.184695765376091 0.2648504376411438 -0.05728180333971977 0.09554627537727356 0.031317830085754395 0.0688367486000061 -0.019752725958824158 0.0715075433254242 -0.1744028478860855 -0.08794116973876953 -0.04579681158065796 0.06538009643554688 -0.022651463747024536 0.017989277839660645
00033209.jpg,-0.11400729417800903 0.017156347632408142 0.07644343376159668 -0.0387701690196991 -0.07702123373746872 -0.1088535487651825 0.006684035062789917 -0.09297157824039459 0.1279735267162323 -0.09863144904375076 0.1398768126964569 -0.060548607259988785 -0.2379257082939148 -0.05435876548290253 -0.02958441525697708 0.11301038414239883 -0.05049029737710953 -0.081386037170887 -0.0602494478225708 -0.12148770689964294 -0.0016586463898420334 0.07074113190174103 0.03393743187189102 -0.007874451577663422 -0.03681404888629913 -0.37605029344558716 -0.07434897124767303 -0.07783417403697968 -0.10056435316801071 -0.024693146347999573 -0.07643774151802063 0.11791908740997314 -0.16047033667564392 -0.0875706821680069 0.042004138231277466 0.12276115268468857 -0.06437665969133377 -0.01848703622817993 0.13414694368839264 0.076612189412117 -0.12238162755966187 -0.1026517003774643 0.037795260548591614 0.24326275289058685 0.13539713621139526 0.06699187308549881 -0.004676925018429756 -0.021583974361419678 0.11771778017282486 -0.23429538309574127 -0.009359577670693398 0.12944339215755463 0.132356196641922 0.002271711826324463 0.1344064474105835 -0.09762192517518997 0.04732406139373779 0.030940581113100052 -0.20563872158527374 0.0125938281416893 0.028825126588344574 -0.0832916647195816 -0.10180355608463287 -0.06804674118757248 0.21249078214168549 0.15910625457763672 -0.10142539441585541 -0.048411138355731964 0.12948712706565857 -0.16541221737861633 -0.07571729272603989 -0.023396216332912445 -0.10179111361503601 -0.20373275876045227 -0.2541387677192688 0.03411760926246643 0.3196033239364624 0.14050695300102234 -0.15667442977428436 -0.013019770383834839 -0.004322107881307602 0.00105980783700943 0.1125229150056839 0.0500207394361496 -0.13491597771644592 0.09346916526556015 -0.07612649351358414 -0.004168316721916199 0.12286657094955444 -0.04109145700931549 -0.09499640017747879 0.1430765688419342 -0.08512752503156662 0.09623705595731735 0.045895397663116455 0.015815630555152893 -0.08589218556880951 0.01687607169151306 -0.15171030163764954 -0.004573367536067963 0.15065260231494904 -0.158427894115448 -0.0018157511949539185 0.07936041057109833 -0.16951344907283783 0.06298313289880753 -0.07890807092189789 -0.046069808304309845 -0.036713309586048126 -0.042411476373672485 -0.14304061233997345 -0.0006455034017562866 0.10505065321922302 -0.1889982521533966 0.18635781109333038 0.19023379683494568 -0.11216914653778076 0.16498485207557678 0.06401673704385757 0.0030105561017990112 -0.005302459001541138 -0.029844000935554504 -0.11813784390687943 -0.15717555582523346 0.07911491394042969 0.04149072617292404 0.04375097155570984 -0.014459006488323212
00034947.jpg,-0.1098063588142395 0.055009111762046814 0.1252835988998413 -0.12038236111402512 -0.13232626020908356 -0.044206276535987854 -0.014609616249799728 -0.17200158536434174 0.11857248842716217 -0.14172497391700745 0.10308445990085602 -0.11609761416912079 -0.21248100697994232 0.0625658631324768 -0.0008232966065406799 0.14834389090538025 -0.10589291900396347 -0.14721471071243286 -0.18589678406715393 0.02371886372566223 -0.07303367555141449 0.11549334228038788 0.019735828042030334 0.010997273027896881 -0.061433665454387665 -0.28401899337768555 -0.05611175671219826 -0.01607716828584671 -0.009550374932587147 0.03225913643836975 -0.018593914806842804 0.11968137323856354 -0.13914892077445984 0.003915756940841675 0.06788254529237747 0.10932110249996185 -0.12899406254291534 -0.07210218161344528 0.16276967525482178 -0.02722090482711792 -0.24819336831569672 -0.0055467188358306885 -0.008551202714443207 0.21297132968902588 0.3188571631908417 -0.01778433844447136 -0.044078629463911057 -0.10610681772232056 0.07388053089380264 -0.3209794759750366 -0.0463813915848732 0.14572007954120636 -0.011528518982231617 0.09103822708129883 0.021913163363933563 -0.10914585739374161 0.018783897161483765 0.1846054345369339 -0.1771152913570404 -0.025406038388609886 0.0475185289978981 -0.16837508976459503 -0.017948854714632034 -0.07309257239103317 0.16523219645023346 0.07716534286737442 -0.16350355744361877 -0.11396517604589462 0.11387479305267334 -0.1573096364736557 -0.027974490076303482 0.05022291839122772 -0.11865175515413284 -0.16808858513832092 -0.19750621914863586 -0.03185908496379852 0.4011805057525635 0.10257183015346527 -0.18108168244361877 -0.024476531893014908 -0.1123470813035965 -0.005134306848049164 0.03394082188606262 0.02950836718082428 -0.006462534889578819 -0.16249923408031464 -0.07217748463153839 -0.03442157804965973 0.21165835857391357 -0.1208338588476181 0.02853485196828842 0.23340970277786255 0.003395169973373413 -0.06334243714809418 -0.031417932361364365 0.06897465139627457 -0.07962387055158615 0.01902284473180771 -0.1267881989479065 -0.05093628168106079 0.010850712656974792 -0.06538993865251541 0.023033685982227325 0.15242034196853638 -0.18852895498275757 0.2711392045021057 0.007831044495105743 0.027346698567271233 0.09532995522022247 -0.08306488394737244 -0.008345350623130798 -0.06555752456188202 0.18259455263614655 -0.19591790437698364 0.1247110515832901 0.1888335794210434 -0.012438353151082993 0.16086596250534058 0.019395679235458374 0.08396695554256439 -0.02363596111536026 0.06101227551698685 -0.15395241975784302 -0.08578873425722122 0.07639629393815994 0.08453956246376038 -0.007294014096260071 0.05693328380584717
00033543.jpg,
00033387.jpg,-0.15862956643104553 0.1397029012441635 0.035163648426532745 -0.04795049503445625 -0.174076646566391 0.0232938751578331 -0.06180105730891228 -0.08715121448040009 0.1681758612394333 -0.16465695202350616 0.08967886120080948 -0.01640469580888748 -0.23338128626346588 0.030200861394405365 0.07660264521837234 0.22198385000228882 -0.21138010919094086 -0.1690681427717209 -0.10360892117023468 -0.04388667643070221 0.0237876009196043 0.04979823902249336 -0.040667574852705 0.038966938853263855 -0.1670338213443756 -0.3663446307182312 -0.03506029024720192 0.004440732300281525 0.06757853925228119 -0.045448824763298035 -0.0484834723174572 0.0963522419333458 -0.1585306078195572 0.046334654092788696 0.055676400661468506 0.11534683406352997 -0.08208958804607391 -0.03927396982908249 0.21658024191856384 0.0831708088517189 -0.2705836296081543 -0.01318514347076416 0.07208096981048584 0.2129177302122116 0.22650690376758575 0.022741753607988358 0.06697265803813934 -0.05549553036689758 0.13572679460048676 -0.3504239320755005 0.03457599878311157 0.20374703407287598 0.03001497872173786 0.12441433221101761 0.056346308439970016 -0.21108080446720123 -0.030031830072402954 0.1488385796546936 -0.18737581372261047 0.06233701854944229 0.11222817003726959 -0.12590652704238892 -0.10226105153560638 -0.019445866346359253 0.1991024762392044 0.14739851653575897 -0.13110680878162384 -0.18868735432624817 0.19535677134990692 -0.15055954456329346 -0.09964744746685028 0.03725431114435196 -0.0620146244764328 -0.19809328019618988 -0.2606731951236725 0.015499114990234375 0.30082595348358154 0.17016492784023285 -0.18489688634872437 0.0039322711527347565 -0.0454050712287426 -0.03935644403100014 0.05382132530212402 0.10079484432935715 -0.029800087213516235 -0.0934094712138176 -0.06328439712524414 0.003710731863975525 0.24117520451545715 -0.0060934945940971375 0.06261786073446274 0.264529824256897 0.11030957847833633 -0.021525800228118896 -0.036783572286367416 0.11695680022239685 -0.14184467494487762 -0.08651230484247208 -0.16158708930015564 -0.12052210420370102 0.03951653093099594 -0.0446794256567955 -0.024620458483695984 0.14977046847343445 -0.24473343789577484 0.30955928564071655 -0.02672252058982849 -0.022568179294466972 -0.043518804013729095 -0.022572293877601624 -0.06821202486753464 0.02304556965827942 0.1132526695728302 -0.21002456545829773 0.18647417426109314 0.23430664837360382 -0.0017545749433338642 0.16139227151870728 0.09018650650978088 0.05153520405292511 0.043306201696395874 -0.04017183184623718 -0.16946980357170105 -0.157790407538414 0.04737120866775513 -0.025698088109493256 -0.06387366354465485 0.0593121275305748
00032476.jpg,-0.1107124388217926 0.04349357262253761 0.03496791422367096 -0.020282432436943054 -0.10476504266262054 -0.02805795520544052 0.07490425556898117 -0.14779184758663177 0.09130605310201645 -0.05229302495718002 0.2565227746963501 -0.019038785248994827 -0.23872461915016174 -0.03671973943710327 -0.11942790448665619 0.15687350928783417 -0.16233763098716736 -0.11664004623889923 -0.18382546305656433 -0.1159796267747879 0.03743021935224533 0.08159007132053375 0.007513970136642456 -0.016018539667129517 -0.0583503395318985 -0.2386932373046875 -0.021121647208929062 -0.03986489772796631 0.11915260553359985 -0.05596998333930969 0.04341137409210205 0.023234181106090546 -0.22263917326927185 -0.0611281581223011 0.03005204349756241 0.0025681406259536743 -0.11374691128730774 -0.057872623205184937 0.27171775698661804 0.07801076769828796 -0.16076049208641052 0.06245452165603638 0.09248191863298416 0.29650866985321045 0.21318523585796356 0.0014918465167284012 -0.023064367473125458 -0.02278965711593628 0.048738524317741394 -0.2764609456062317 -0.0368013009428978 0.18033340573310852 0.17545363306999207 0.059592198580503464 0.009775258600711823 -0.11086688190698624 -0.049181610345840454 0.1364206075668335 -0.21532592177391052 0.1584215760231018 0.09115651249885559 -0.1708211749792099 0.010486377403140068 -0.05554499477148056 0.16509082913398743 0.08472955226898193 -0.12068027257919312 -0.14409670233726501 0.1793254315853119 -0.1925317347049713 -0.12471374124288559 -0.030879966914653778 -0.0757930725812912 -0.13637885451316833 -0.3053368628025055 -0.006065055727958679 0.3207727074623108 0.11603406071662903 -0.14935311675071716 -0.01653940975666046 -0.07187166064977646 -0.026332877576351166 0.014585442841053009 0.04070447385311127 -0.07156866043806076 -0.06111829727888107 -0.10305927693843842 -0.03735646605491638 0.21141305565834045 -0.027967169880867004 -0.07541947066783905 0.2482205033302307 -0.025531843304634094 -0.07563816756010056 0.01059664785861969 0.030511528253555298 -0.15550954639911652 -0.049292974174022675 -0.12288093566894531 -0.04006481170654297 -0.06749096512794495 -0.14532285928726196 0.10219887644052505 0.12025156617164612 -0.10323654115200043 0.154615581035614 -0.0891752764582634 0.004896266385912895 -0.05736064165830612 -0.005555212497711182 -0.11237899214029312 0.012064248323440552 0.13997825980186462 -0.12680266797542572 0.323996365070343 0.20334303379058838 0.052493657916784286 0.07258540391921997 0.15381498634815216 0.004692241549491882 -0.004199519753456116 0.08853816986083984 -0.10044222325086594 -0.16762343049049377 -0.045750606805086136 -0.054624512791633606 0.13207784295082092 0.07704462856054306
