Filename,Encodings
00033790.jpg,-0.014019101858139038 0.05908530205488205 -0.010594576597213745 0.030578751116991043 -0.06512384861707687 -0.03470347821712494 0.030090337619185448 -0.07222409546375275 0.10034111142158508 -0.08216790109872818 0.12297113239765167 -0.03139760345220566 -0.3173280656337738 -0.012933582067489624 -0.03792007267475128 0.07846373319625854 -0.20207694172859192 -0.008346274495124817 -0.1503288745880127 -0.12022077292203903 -0.005070185288786888 0.050723567605018616 0.06699371337890625 -0.03933987021446228 -0.13067863881587982 -0.2254696488380432 -0.05906502529978752 -0.15798482298851013 0.04662478715181351 -0.07131357491016388 0.06718689203262329 0.08217772841453552 -0.19370612502098083 -0.056127164512872696 -0.02636633813381195 0.03230583667755127 -0.09509488195180893 -0.08222368359565735 0.25366052985191345 0.02262335643172264 -0.0979870855808258 0.023810431361198425 0.04418032616376877 0.18755680322647095 0.25260505080223083 -0.08735762536525726 -0.05607395991683006 -0.0018065571784973145 0.07997572422027588 -0.30790549516677856 -0.009855324402451515 0.15872785449028015 0.06060965731739998 0.14415021240711212 0.02902287244796753 -0.11193270981311798 0.03428545594215393 0.18642793595790863 -0.2047816962003708 0.08013547956943512 0.07541367411613464 -0.1765589714050293 -0.019526824355125427 0.0601426362991333 0.10721256583929062 0.10451734066009521 -0.061531342566013336 -0.11013974249362946 0.18275469541549683 -0.22771920263767242 -0.03837767615914345 0.02473938837647438 -0.05776716023683548 -0.13245782256126404 -0.23091964423656464 0.04806147515773773 0.2785137891769409 0.20386667549610138 -0.08022673428058624 -0.005107320845127106 -0.12763531506061554 -0.08727468550205231 0.021945618093013763 0.015632525086402893 -0.03200173005461693 -0.14748729765415192 -0.0704948678612709 0.057177767157554626 0.14981119334697723 -0.014803029596805573 -0.03504582494497299 0.24001255631446838 -0.023721978068351746 -0.03298094868659973 0.033703677356243134 -0.05021451413631439 -0.17398701608181 -0.08367577940225601 -0.1397825926542282 -0.04105965048074722 0.0236329585313797 -0.2009057104587555 0.007019266486167908 0.12774434685707092 -0.10439901798963547 0.1381016969680786 -0.058434754610061646 -0.07083909213542938 0.024528659880161285 -0.0717124193906784 -0.07692034542560577 0.0768459364771843 0.22283707559108734 -0.1267634928226471 0.2972131073474884 0.12666915357112885 -0.0013126358389854431 0.1114434078335762 0.1013244092464447 0.0650382712483406 -0.04613610357046127 -0.016200050711631775 -0.20030416548252106 -0.12256152927875519 -0.008895054459571838 0.02688480168581009 0.046916767954826355 0.0003358200192451477
00035444.jpg,-0.1272418349981308 0.11529309302568436 0.08315940946340561 -0.039944108575582504 -0.17943787574768066 0.021586164832115173 0.034024711698293686 -0.10296113789081573 0.11251139640808105 -0.10210633277893066 0.21674321591854095 0.04194016009569168 -0.2677595019340515 -0.09244022518396378 -0.005074679851531982 0.19143718481063843 -0.12694142758846283 -0.07084186375141144 -0.19901533424854279 -0.1629391312599182 0.016195854172110558 0.08087671548128128 -0.012813448905944824 -0.006707713007926941 -0.12338697910308838 -0.21346129477024078 -0.10505449026823044 -0.040311358869075775 0.11796146631240845 -0.05351990461349487 0.053249962627887726 0.026344917714595795 -0.17497360706329346 -0.07183921337127686 0.0399603545665741 -0.023359082639217377 -0.05694799870252609 -0.0957283079624176 0.20343801379203796 -0.030621949583292007 -0.1417713761329651 0.036857396364212036 0.0947636216878891 0.19330233335494995 0.13103637099266052 0.014143640175461769 0.10124325007200241 -0.1479804515838623 0.13067832589149475 -0.1915229856967926 0.040423162281513214 0.1175592690706253 0.15790610015392303 0.0688861608505249 0.11240451037883759 -0.19049449265003204 0.05817991495132446 0.19550827145576477 -0.18707379698753357 0.086414635181427 0.05558805912733078 -0.1301235854625702 -0.07501603662967682 -0.043528467416763306 0.10832569003105164 0.044695667922496796 -0.07991280406713486 -0.17426644265651703 0.18406923115253448 -0.14478270709514618 -0.039022549986839294 0.12208157777786255 -0.0713224709033966 -0.15111637115478516 -0.34568822383880615 0.03884327411651611 0.389816552400589 0.2059556543827057 -0.21476861834526062 -0.03145182877779007 -0.018130160868167877 0.0009248107671737671 0.09360675513744354 0.0887819156050682 -0.1463114619255066 -0.10848110169172287 -0.07952333986759186 0.05183224380016327 0.18747594952583313 -0.025566667318344116 -0.0018149297684431076 0.2522614598274231 0.13470235466957092 -0.0550190731883049 -0.023616857826709747 0.040149983018636703 -0.11704150587320328 -0.07012596726417542 -0.013887438923120499 0.00028320401906967163 0.09705040603876114 -0.10713830590248108 0.03561703860759735 0.07753593474626541 -0.18158133327960968 0.19100847840309143 -0.05707345902919769 -0.038905709981918335 -0.09136495739221573 -0.08957590162754059 -0.06327775865793228 0.09487910568714142 0.16901296377182007 -0.2122039794921875 0.20152613520622253 0.19872575998306274 -0.0943804383277893 0.14182791113853455 0.10441001504659653 0.10165093839168549 -0.04500718414783478 -0.08065037429332733 -0.09752118587493896 -0.1497669816017151 0.09452935308218002 -0.13699667155742645 0.12295179069042206 0.01308288425207138
00033035.jpg,-0.06878312677145004 0.07075263559818268 0.001101575791835785 -0.06030324473977089 -0.03385957330465317 0.04486237093806267 0.025879140943288803 -0.1439918726682663 0.09326280653476715 -0.029380545020103455 0.24096985161304474 0.04210681468248367 -0.276528924703598 -0.09785573184490204 0.03707491606473923 0.11708313226699829 -0.1733425259590149 -0.15356533229351044 -0.13088928163051605 -0.052536897361278534 -0.01877792552113533 -0.00274735689163208 0.014802161604166031 0.003260470926761627 -0.09391423314809799 -0.19974875450134277 -0.08542019873857498 0.010821543633937836 0.08713532984256744 -0.11978559195995331 0.09305857121944427 0.05780957266688347 -0.1989714801311493 -0.017992369830608368 0.07508714497089386 0.08547086268663406 -0.1496097594499588 -0.13395042717456818 0.2593477964401245 0.06672215461730957 -0.13425764441490173 -0.047994062304496765 0.04560939967632294 0.2978515028953552 0.2006119340658188 -0.013643342070281506 -0.037363436073064804 -0.03803148865699768 0.1148383766412735 -0.31748124957084656 0.025118835270404816 0.1400584876537323 0.1501120775938034 0.08745838701725006 -0.0014622583985328674 -0.18295736610889435 0.046606481075286865 0.1491924226284027 -0.25913333892822266 0.041243117302656174 0.03974783048033714 -0.19343431293964386 -0.09434783458709717 -0.05022816359996796 0.18982931971549988 0.15676021575927734 -0.16979573667049408 -0.17640988528728485 0.18526941537857056 -0.08049438148736954 -0.08055630326271057 0.07723595201969147 -0.07265043258666992 -0.17835275828838348 -0.2579381763935089 0.03875371813774109 0.3748738765716553 0.07874874025583267 -0.17229676246643066 -0.003512643277645111 -0.03757975623011589 -0.01291196420788765 0.008826538920402527 0.08743386715650558 -0.12036170810461044 -0.040235914289951324 -0.07846960425376892 -0.0026445239782333374 0.16650967299938202 -0.012023568153381348 -0.09999237954616547 0.2085719108581543 -0.0026388242840766907 0.016678497195243835 0.07570324838161469 0.03885446488857269 -0.01807282119989395 0.0011000819504261017 -0.17083778977394104 -0.03613384813070297 0.020095109939575195 -0.12146900594234467 0.06041784584522247 0.11212719976902008 -0.0984061062335968 0.22056514024734497 0.06874867528676987 0.003786139190196991 0.027550287544727325 -0.08899794518947601 -0.14796680212020874 0.009122386574745178 0.12940998375415802 -0.3674953579902649 0.24370981752872467 0.16807058453559875 0.05009996145963669 0.10310781002044678 0.13588981330394745 0.07465650886297226 0.035933032631874084 -0.007796332240104675 -0.15381354093551636 -0.09468445181846619 0.04072200879454613 0.006013892590999603 0.04772840440273285 0.01864275336265564
00035322.jpg,-0.04072166234254837 -0.026091940701007843 0.04670325666666031 -0.011512819677591324 -0.12778107821941376 -0.06529303640127182 0.031755246222019196 -0.1354883462190628 0.11956353485584259 -0.06518615037202835 0.1639356017112732 0.011482617817819118 -0.2599312961101532 -0.023926585912704468 0.008669517934322357 0.06701235473155975 -0.1609187126159668 -0.15008679032325745 -0.16100788116455078 -0.12904033064842224 0.005292372778058052 0.08657045662403107 -0.018141284584999084 -0.04355068504810333 -0.12915962934494019 -0.24773886799812317 -0.10741947591304779 -0.09411194920539856 0.1488400101661682 -0.05657145380973816 0.13401183485984802 0.04892699792981148 -0.20559558272361755 -0.06510245054960251 0.003652699291706085 0.028754886239767075 -0.09863899648189545 -0.05857565253973007 0.24190551042556763 0.035821594297885895 -0.2129567265510559 0.03066059947013855 0.03751783072948456 0.22218334674835205 0.18362072110176086 0.0026625804603099823 0.06712830066680908 -0.12513595819473267 0.054702386260032654 -0.25544413924217224 0.04439621418714523 0.17911629378795624 0.17980679869651794 0.07928115129470825 0.12615340948104858 -0.09855980426073074 0.03653305768966675 0.08387154340744019 -0.19299517571926117 0.15016785264015198 0.1472318470478058 -0.08655043691396713 0.03571358695626259 -0.009762242436408997 0.1234981045126915 -0.06001032143831253 -0.044995199888944626 -0.09680412709712982 0.24203366041183472 -0.22515954077243805 -0.1633453071117401 0.13155053555965424 -0.016039233654737473 -0.16974565386772156 -0.3410022556781769 -0.0056502074003219604 0.4510761499404907 0.14559727907180786 -0.18061229586601257 0.046998608857393265 -0.07154271006584167 -0.07870599627494812 0.0993090271949768 0.05394025146961212 -0.053654253482818604 -0.05129252374172211 -0.11432046443223953 0.0473066121339798 0.2599010467529297 -0.03904455900192261 -0.0075897108763456345 0.2168234884738922 0.0974135622382164 -0.004780426621437073 0.05875462293624878 0.06582674384117126 -0.056334152817726135 -0.044207360595464706 -0.09169547259807587 -0.017672322690486908 0.07375341653823853 -0.06277959793806076 0.05005703866481781 0.08912056684494019 -0.08538749068975449 0.24612252414226532 -0.0027242302894592285 -0.08534660190343857 -0.048683591187000275 -0.024708479642868042 -0.06420490890741348 0.023388206958770752 0.20811989903450012 -0.2428007423877716 0.20969273149967194 0.1764412224292755 -0.049766622483730316 0.08070726692676544 0.0257568359375 0.072963185608387 -0.06985747814178467 -0.06605777144432068 -0.18157261610031128 -0.1525266170501709 -0.04450150951743126 -0.04084586352109909 0.04833787679672241 0.09151184558868408
00035336.jpg,-0.1003832072019577 0.06787184625864029 -0.012344381771981716 -0.03359467536211014 -0.15365590155124664 -0.012437254190444946 0.012783704325556755 -0.25287434458732605 0.08674243837594986 -0.0499659962952137 0.1929853856563568 -0.08122549206018448 -0.27377498149871826 -0.10396996885538101 0.005474217236042023 0.09893839061260223 -0.19780345261096954 -0.1720050871372223 -0.1337231695652008 -0.16114340722560883 -0.010458504781126976 -0.02055608108639717 0.0665266141295433 -0.038234300911426544 -0.22712230682373047 -0.2519850432872772 -0.11504331976175308 -0.12500667572021484 0.0549234002828598 -0.022690579295158386 0.17491686344146729 0.09314791113138199 -0.17237624526023865 0.0011695176362991333 0.027606524527072906 0.060148075222969055 -0.04863404482603073 -0.053321972489356995 0.229995459318161 -0.031406670808792114 -0.14861682057380676 0.0371108204126358 0.07366304099559784 0.20761097967624664 0.19149422645568848 0.021941309794783592 0.08683715015649796 -0.05788792669773102 0.07725772261619568 -0.20483916997909546 0.03405802324414253 0.18498310446739197 0.10311293601989746 0.0718909278512001 0.10666824877262115 -0.11137816309928894 0.05309942364692688 0.19327959418296814 -0.18082594871520996 0.04870109260082245 0.13666963577270508 -0.08137378096580505 0.015520494431257248 -0.01634221524000168 0.17952491343021393 0.04498638957738876 -0.11278778314590454 -0.05887999385595322 0.17909501492977142 -0.1517791897058487 -0.12163521349430084 0.0600304938852787 -0.10930302739143372 -0.16448736190795898 -0.3336431384086609 0.04329988360404968 0.4677872657775879 0.14853531122207642 -0.14513464272022247 -0.025929037481546402 -0.029354915022850037 -0.007802266627550125 0.03457071632146835 0.05457065999507904 -0.1145915687084198 -0.11422425508499146 -0.10743699967861176 -0.011850520968437195 0.1947816163301468 -0.015947356820106506 -0.015767432749271393 0.23374587297439575 0.05741618946194649 -0.05628608167171478 0.008320118300616741 0.04310619831085205 -0.08910370618104935 -0.04181339591741562 -0.004218820482492447 9.473413228988647e-05 -0.002199627459049225 -0.11744429171085358 0.029120653867721558 0.08232071995735168 -0.14728964865207672 0.21262338757514954 -0.04690786451101303 -0.045781832188367844 -0.13097402453422546 -0.033919528126716614 0.02664366364479065 0.0678689181804657 0.155274897813797 -0.3193933963775635 0.158314511179924 0.22058042883872986 -0.04577522724866867 0.16142655909061432 0.030622392892837524 0.09545758366584778 -0.05341888964176178 0.026783525943756104 -0.11046130955219269 -0.18187695741653442 -0.03262773156166077 -0.030376367270946503 0.03525783121585846 0.09259983897209167
00032317.jpg,
00034766.jpg,-0.08437909185886383 0.13350901007652283 -0.02343437820672989 -0.04498175531625748 -0.20372836291790009 0.04887028783559799 -0.01385587826371193 -0.08879435062408447 0.28724205493927 -0.1284427046775818 0.18393966555595398 -0.0011302009224891663 -0.13419592380523682 0.07827987521886826 -0.028086893260478973 0.09618926048278809 -0.24987173080444336 -0.10494072735309601 -0.024662133306264877 -0.060810208320617676 0.06880126148462296 0.02803691104054451 0.033640168607234955 0.1360149383544922 -0.0918860137462616 -0.3530005216598511 -0.07924140989780426 -0.08413060754537582 0.11382104456424713 -0.14672675728797913 0.0021162107586860657 0.05531001091003418 -0.10536234080791473 -0.02046199142932892 0.018816478550434113 0.13001808524131775 -0.052465952932834625 -0.06772223860025406 0.17948850989341736 -0.010835639201104641 -0.23487691581249237 0.04717031121253967 0.027889445424079895 0.31589245796203613 0.2567315697669983 0.0010992921888828278 0.0024077650159597397 -0.10019290447235107 0.1938261240720749 -0.24962562322616577 0.0316285565495491 0.18355032801628113 0.05766143277287483 0.052869439125061035 0.06457197666168213 -0.13202011585235596 -0.0275118350982666 0.09765049815177917 -0.1569019854068756 0.004862796515226364 0.13310028612613678 -0.06397958099842072 0.042463235557079315 -0.0858648270368576 0.1792520433664322 0.08853779733181 -0.1097170040011406 -0.18939276039600372 0.09151363372802734 -0.2277066558599472 -0.08205978572368622 0.10796044766902924 -0.12352954596281052 -0.21811151504516602 -0.20516228675842285 0.037544384598731995 0.45139214396476746 0.18084582686424255 -0.05893131345510483 0.06956979632377625 -0.07281532883644104 -0.04597426950931549 -0.0017569735646247864 0.17197605967521667 -0.01895192265510559 0.0032279640436172485 -0.10562281310558319 0.07976475358009338 0.1722126007080078 -0.04340474307537079 0.006744761019945145 0.24287888407707214 0.01830684021115303 0.02089954912662506 0.01245291717350483 0.11164872348308563 -0.16046510636806488 0.06265942007303238 -0.14731398224830627 -0.02680620551109314 -0.0412401407957077 -0.030705807730555534 0.013016045093536377 0.06458859890699387 -0.23910358548164368 0.2514486312866211 -0.06667116284370422 -0.008399225771427155 -0.039128392934799194 -0.057265281677246094 -0.05061426758766174 0.03945596516132355 0.19602689146995544 -0.321925550699234 0.1358346939086914 0.1592143476009369 0.07912769168615341 0.2169947773218155 0.007081843912601471 0.05959196388721466 0.028203219175338745 -0.048297442495822906 -0.157323956489563 -0.02301451936364174 -0.036574847996234894 -0.06019248068332672 -0.025932475924491882 0.010851729661226273
00034000.jpg,
00033592.jpg,-0.0738048106431961 0.05604228377342224 0.004464057274162769 -0.0932774692773819 -0.062114402651786804 0.030213579535484314 -0.053267866373062134 -0.09062851965427399 0.16207686066627502 -0.10711139440536499 0.14074669778347015 0.044689781963825226 -0.17882922291755676 -0.014366090297698975 -0.05226261913776398 0.05758776515722275 -0.09867475926876068 -0.14998841285705566 -0.14055655896663666 -0.13528059422969818 -0.027950849384069443 0.09265881031751633 0.027232766151428223 -0.08633182942867279 -0.1509053111076355 -0.3056461215019226 -0.04246300831437111 -0.0925874188542366 0.09945490956306458 -0.11248420178890228 0.048769671469926834 0.02352890372276306 -0.25445809960365295 -0.009455733001232147 0.024515803903341293 0.08094809949398041 -0.12261514365673065 -0.12781763076782227 0.2468467354774475 0.11886193603277206 -0.12603676319122314 0.078494131565094 0.033333539962768555 0.2499697208404541 0.12479688227176666 -0.023292314261198044 0.002641003578901291 -0.10300508141517639 0.1272929608821869 -0.19912955164909363 0.10399073362350464 0.16198812425136566 0.17998230457305908 0.06293468922376633 0.09597136080265045 -0.0865916982293129 0.08467671275138855 0.0547393336892128 -0.22048328816890717 0.11001056432723999 0.1056760773062706 -0.07379421591758728 -0.15328437089920044 -0.05440252274274826 0.13949409127235413 0.07126794755458832 -0.0877259150147438 -0.09967958927154541 0.20635771751403809 -0.09782641381025314 -0.03796585649251938 0.04000088572502136 -0.03630320727825165 -0.18356794118881226 -0.18704593181610107 0.1207544207572937 0.27378442883491516 0.17299562692642212 -0.16689005494117737 0.05453837662935257 -0.035389021039009094 -0.03508353233337402 -0.010658994317054749 0.08162325620651245 -0.14013603329658508 -0.037060245871543884 0.005345987621694803 0.039653241634368896 0.18262246251106262 0.02219841629266739 -0.0598803386092186 0.20773059129714966 0.02528030052781105 -0.03287757933139801 0.023449428379535675 0.010348744690418243 -0.14450642466545105 -0.06351419538259506 -0.08470368385314941 -0.03557226061820984 0.12788766622543335 -0.14900833368301392 -0.026351183652877808 0.13243472576141357 -0.18963465094566345 0.18130016326904297 -0.03513243794441223 -0.11340271681547165 0.10301554203033447 -0.0012709200382232666 -0.0641014501452446 -0.07703723013401031 0.11241448670625687 -0.2520403265953064 0.22144126892089844 0.1816370040178299 0.05990103632211685 0.14605337381362915 0.13394787907600403 0.06190645694732666 0.05391246825456619 0.05974186956882477 -0.19688767194747925 -0.18920296430587769 -0.011063460260629654 0.02905643731355667 -0.03398081660270691 0.05947190150618553
00032698.jpg,0.034772224724292755 0.07108405232429504 -0.08109758794307709 -0.049430206418037415 -0.08921670913696289 0.042862482368946075 -0.06870760023593903 -0.07146633416414261 0.247270867228508 -0.04936930909752846 0.22643393278121948 0.04332561790943146 -0.15403173863887787 -0.12812691926956177 -0.041837118566036224 0.08675163984298706 -0.13414213061332703 -0.1128576323390007 -0.0629390999674797 -0.13303187489509583 -0.06305913627147675 0.01936252973973751 -0.00014318153262138367 0.06246642768383026 -0.12839916348457336 -0.20741723477840424 -0.01669268310070038 -0.1622483879327774 0.1153596043586731 -0.19118113815784454 -0.07130789011716843 0.08539135754108429 -0.1267264187335968 -0.059673190116882324 -0.005044065415859222 0.04684760421514511 -0.033171579241752625 -0.01997225731611252 0.20569755136966705 0.07106786966323853 -0.1144673153758049 0.04557369649410248 -0.028165176510810852 0.3181418776512146 0.18750788271427155 -0.056676801294088364 0.018588904291391373 -0.1031208336353302 0.2160445898771286 -0.23524872958660126 0.09435181319713593 0.15588022768497467 0.1391816884279251 0.05398759990930557 0.08950880169868469 -0.15258058905601501 -0.014118313789367676 0.10359271615743637 -0.20581381022930145 0.08501795679330826 0.050351209938526154 0.037620242685079575 -0.04768316447734833 -0.08149582147598267 0.17618082463741302 0.12912210822105408 -0.07203574478626251 -0.131538525223732 0.06925824284553528 -0.14894220232963562 -0.05910700932145119 0.11098240315914154 -0.057687364518642426 -0.1859942078590393 -0.24951091408729553 0.0629054456949234 0.3424079418182373 0.19962193071842194 -0.18824005126953125 0.061627864837646484 -0.08469238877296448 -0.08994555473327637 0.07256000488996506 -0.029555752873420715 -0.11831673979759216 0.04470512270927429 -0.08323903381824493 0.016690358519554138 0.1757427453994751 -0.006415247917175293 -0.01973741129040718 0.1691860556602478 0.0006580539047718048 0.03280416876077652 0.04484989494085312 0.06614946573972702 -0.11614188551902771 0.011746326461434364 -0.12439005821943283 -0.039161525666713715 0.02911057323217392 -0.13056468963623047 0.03776109218597412 -0.007065311074256897 -0.20151229202747345 0.21273592114448547 0.041437163949012756 -0.02418902888894081 -0.033431276679039 -0.0012255758047103882 -0.07097041606903076 0.048140525817871094 0.22437012195587158 -0.2950628995895386 0.2301800698041916 0.06996364891529083 0.11596644669771194 0.17967897653579712 0.05669981986284256 0.038613460958004 -0.08480742573738098 -0.08634040504693985 -0.04006204754114151 -0.07215402275323868 -0.011821120977401733 -0.03269292414188385 0.06765119731426239 0.04699845612049103
