Filename,Encodings
00034941.jpg,
00033948.jpg,
00034969.jpg,
00034996.jpg,
00033009.jpg,-0.08328980207443237 0.07541419565677643 0.01857653260231018 -0.04453863203525543 -0.0025208592414855957 -0.03044658899307251 -0.08305855095386505 -0.13580362498760223 0.1734105348587036 -0.09933461993932724 0.17160865664482117 -0.04026322811841965 -0.28214555978775024 -0.05350818857550621 -0.11096590012311935 0.19474568963050842 -0.19021695852279663 -0.1759812831878662 -0.014847861602902412 0.012492194771766663 0.1165701299905777 -0.05045951157808304 0.04168574884533882 0.17323191463947296 -0.10886197537183762 -0.30726924538612366 -0.0026831328868865967 -0.1537521332502365 -0.02251535840332508 -0.10679301619529724 -0.017250284552574158 -0.03873467817902565 -0.23272225260734558 0.05107729509472847 0.00045640021562576294 0.10475039482116699 -0.054228756576776505 -0.105013407766819 0.262090265750885 0.052541058510541916 -0.26266446709632874 -0.0968928337097168 0.08849342167377472 0.1689469963312149 0.20248249173164368 -0.008179593831300735 -0.0038760770112276077 -0.08942936360836029 0.16517412662506104 -0.31880027055740356 0.07793077826499939 0.13385795056819916 0.14429298043251038 0.12612125277519226 0.05912834778428078 -0.23699459433555603 0.00115966796875 0.07880142331123352 -0.2396077960729599 0.06618421524763107 -0.007156461477279663 -0.04488418251276016 -0.06139463186264038 -0.03755622357130051 0.261821448802948 0.16905835270881653 -0.17318561673164368 -0.13789834082126617 0.20079323649406433 -0.23242825269699097 -0.03960088640451431 0.1311626136302948 -0.02985239028930664 -0.20795592665672302 -0.23986291885375977 -0.024507954716682434 0.29939401149749756 0.15118716657161713 -0.1767806112766266 0.03334679827094078 -0.08471225202083588 -0.06453950703144073 -0.035033248364925385 0.12777164578437805 -0.005756314843893051 0.1209787130355835 -0.0320153683423996 -0.04717335104942322 0.1670098602771759 -0.005167931318283081 -0.0037714801728725433 0.2932795286178589 -0.04890552908182144 0.01986057311296463 0.0406024195253849 0.04596760869026184 -0.12049645185470581 -0.02800675854086876 -0.16091600060462952 -0.09563864767551422 -0.0466499850153923 -0.024739909917116165 0.01809374988079071 0.005679793655872345 -0.19454920291900635 0.08957164734601974 -0.020525403320789337 -0.055843107402324677 -0.005590856075286865 0.035053566098213196 -0.17265397310256958 -0.07035350799560547 0.13822442293167114 -0.2919161319732666 0.260932981967926 0.10742386430501938 0.11286985129117966 0.12029651552438736 0.08455891907215118 0.07408982515335083 0.05174188315868378 -0.09544487297534943 -0.11639393121004105 -0.05225357040762901 0.07125156372785568 -0.0473991334438324 0.045745015144348145 -0.014952518045902252
00032471.jpg,-0.09820081293582916 -0.03870256245136261 0.051506415009498596 -0.13004069030284882 -0.08627738803625107 -0.03894619271159172 0.009668983519077301 -0.10669655352830887 0.15442977845668793 -0.19525010883808136 0.16205309331417084 -0.10999574512243271 -0.19064857065677643 -0.08376560360193253 0.006598725914955139 0.20934592187404633 -0.16182991862297058 -0.17455041408538818 -0.08364999294281006 -0.03764905035495758 0.022396305575966835 0.08092083781957626 -0.04853804409503937 0.04137010872364044 -0.14227791130542755 -0.29408952593803406 -0.07960106432437897 -0.0015124082565307617 -0.05825036019086838 0.00018259882926940918 0.04577045515179634 0.18021909892559052 -0.21103502810001373 0.025886569172143936 -0.011351734399795532 0.11899355798959732 -0.07668748497962952 -0.12025287747383118 0.19855637848377228 0.033605534583330154 -0.20543578267097473 0.03002341091632843 0.09379864484071732 0.19849170744419098 0.14880645275115967 -0.09051849693059921 0.015217751264572144 0.02354222536087036 0.113945871591568 -0.2827560305595398 -0.10284609347581863 0.17790162563323975 0.12539249658584595 0.05426357686519623 0.059921108186244965 -0.05455446243286133 0.02551490068435669 0.18556608259677887 -0.22817671298980713 0.050430554896593094 -0.022516023367643356 -0.09663832932710648 0.04464263468980789 -0.05166475474834442 0.15447808802127838 0.06335821002721786 -0.10295744985342026 -0.15781302750110626 0.1600092649459839 -0.13935132324695587 -0.10358720272779465 0.06113994121551514 -0.15456154942512512 -0.2128055989742279 -0.3173880875110626 0.012147679924964905 0.24011830985546112 0.07731738686561584 -0.07251007854938507 0.10007336735725403 -0.019517507404088974 -0.08806825429201126 -0.054439038038253784 0.04212169349193573 -0.009804219007492065 -0.04603327810764313 -0.07641590386629105 0.042335450649261475 0.2861747443675995 -0.039364367723464966 0.008954336866736412 0.25771963596343994 0.008581925183534622 -0.08643971383571625 -0.07994557172060013 -0.011771045625209808 -0.026616297662258148 0.002832062542438507 -0.07718634605407715 0.03888993710279465 0.009342260658740997 -0.11296215653419495 -0.001623496413230896 0.13223059475421906 -0.20667928457260132 0.14274227619171143 -0.06411527842283249 -0.05118393525481224 -0.07232966274023056 0.017174556851387024 -0.14938923716545105 0.009123340249061584 0.107704296708107 -0.20744812488555908 0.14385829865932465 0.19275633990764618 0.03870931267738342 0.09176205098628998 0.05580829828977585 0.011035040020942688 -0.00993184745311737 0.005679324269294739 -0.1287311166524887 -0.13706624507904053 0.08371338248252869 0.024099133908748627 0.02927146852016449 0.0936601459980011
00034014.jpg,
00034772.jpg,-0.0763205736875534 0.1519390195608139 0.080350860953331 -0.07899335026741028 -0.061446662992239 -0.05637425556778908 0.004717253148555756 -0.05871613323688507 0.12685976922512054 0.016008637845516205 0.21172508597373962 -0.11318443715572357 -0.2785100042819977 -0.10513351112604141 0.013445563614368439 0.11013056337833405 -0.2700819671154022 -0.14193782210350037 -0.1236681193113327 -0.09121467173099518 0.11888228356838226 0.06309522688388824 -0.007098022848367691 0.07210980355739594 -0.18095937371253967 -0.32684755325317383 -0.005751222372055054 -0.11686070263385773 0.06908915191888809 -0.1294156014919281 0.03986629843711853 0.0937814936041832 -0.1556709110736847 -0.06305116415023804 0.026989679783582687 0.07408015429973602 -0.04054700583219528 -0.03852304816246033 0.17754003405570984 0.04848114401102066 -0.2264617681503296 0.04952464997768402 0.0002112165093421936 0.30884382128715515 0.20049598813056946 0.027094384655356407 0.027423273772001266 -0.09988144040107727 0.18799221515655518 -0.24626654386520386 0.03368672728538513 0.25887876749038696 0.11397907137870789 0.0022855252027511597 0.19267970323562622 -0.1599411517381668 -0.011389821767807007 0.148094043135643 -0.19876225292682648 0.13586945831775665 0.1113642230629921 -0.08931900560855865 0.030257880687713623 -0.13937267661094666 0.024770371615886688 -0.015730109065771103 -0.11217811703681946 -0.0994860976934433 0.12091755867004395 -0.0927618220448494 -0.0986100435256958 0.15709814429283142 -0.08211703598499298 -0.1736692637205124 -0.3322964310646057 -0.03929620981216431 0.3817574381828308 0.08866941183805466 -0.21927344799041748 -0.02602672204375267 -0.032549235969781876 -0.018977034837007523 0.10270911455154419 0.05863308906555176 -0.1608331799507141 0.02447931468486786 -0.17151540517807007 0.04799620807170868 0.13234473764896393 0.026647157967090607 -0.013326987624168396 0.2584342956542969 -0.02153073437511921 0.015555426478385925 0.04184074327349663 0.049697503447532654 -0.16882580518722534 -0.002226557582616806 -0.11613617837429047 -0.05183715373277664 0.0931578129529953 -0.17482316493988037 -0.03642299771308899 0.06639757007360458 -0.1532670259475708 0.12267277389764786 0.004359811544418335 0.051450230181217194 -0.09252846240997314 -0.030551299452781677 -0.11279383301734924 0.08089610934257507 0.20491346716880798 -0.251025527715683 0.14839798212051392 0.20211437344551086 -0.006528478115797043 0.05393480882048607 0.09576193988323212 -0.016108423471450806 -0.09025788307189941 -0.09752486646175385 -0.1556454449892044 -0.0879303365945816 0.04298211261630058 -0.008927278220653534 0.05175298452377319 -0.010258644819259644
00035685.jpg,
00032868.jpg,-0.17105451226234436 0.13706296682357788 0.10167790949344635 -0.04355621710419655 -0.0856318324804306 0.05014002323150635 0.035586170852184296 -0.12354925274848938 0.18488499522209167 -0.12030872702598572 0.19535280764102936 -0.036539144814014435 -0.251265287399292 0.02161051705479622 -0.09240155667066574 0.2525967061519623 -0.17127752304077148 -0.13182221353054047 -0.05628129839897156 -0.06709016859531403 0.06153394281864166 0.08058507740497589 0.0253419429063797 0.08061858266592026 -0.09009618312120438 -0.3055121898651123 -0.08140630275011063 -0.05522352457046509 0.03373437747359276 0.005415678024291992 0.004252541810274124 0.09214235842227936 -0.06500183045864105 0.05140875279903412 0.05259101837873459 0.08817864954471588 -0.015884533524513245 -0.1390712857246399 0.21100068092346191 0.0037885401397943497 -0.2323668897151947 -0.009332984685897827 0.07898251712322235 0.2681843936443329 0.23357445001602173 0.023053497076034546 0.012411592528223991 -0.14845497906208038 0.0980830192565918 -0.2611931264400482 0.03178376704454422 0.08159239590167999 -0.018541965633630753 0.06623280793428421 0.03174962103366852 -0.2665180563926697 0.02718818187713623 0.09359188377857208 -0.2182576060295105 -0.03266531974077225 0.01106628030538559 -0.1973094493150711 0.0007127341814339161 -0.028634175658226013 0.12565878033638 0.15842412412166595 -0.07965127378702164 -0.17454978823661804 0.23380319774150848 -0.1847379505634308 0.010156478732824326 0.0950627252459526 -0.12858366966247559 -0.1662084460258484 -0.2669329047203064 0.017920449376106262 0.4542176425457001 0.1815435290336609 -0.07868918776512146 0.024428676813840866 0.012177489697933197 0.0594966858625412 0.13357006013393402 0.15228398144245148 -0.07716593146324158 -0.14098380506038666 -0.11590379476547241 -0.013419419527053833 0.15436875820159912 -0.02874663472175598 -0.08382651954889297 0.22960494458675385 0.016418784856796265 -0.049903273582458496 0.04552287235856056 0.12389081716537476 -0.09542666375637054 0.06153839826583862 -0.12217851728200912 -0.04671585559844971 0.018048137426376343 -0.05473438650369644 0.06210153549909592 0.11969030648469925 -0.21666565537452698 0.10171850025653839 -0.047208838164806366 -0.021167755126953125 0.0045553892850875854 -0.04204230010509491 -0.06466858834028244 0.044195860624313354 0.16562172770500183 -0.2301076352596283 0.13356737792491913 0.18741494417190552 -0.019392814487218857 0.23675033450126648 0.10115542262792587 0.14331166446208954 -0.0024714618921279907 -0.0949786901473999 -0.15447674691677094 -0.031086478382349014 0.08064659684896469 0.012520670890808105 0.07898864150047302 0.05661635100841522
