Filename,Encodings
00035487.jpg,-0.06714724004268646 0.06212092936038971 0.09829626232385635 -0.1505260169506073 -0.06600300967693329 -0.008819393813610077 -0.02472837083041668 -0.12205289304256439 0.23721590638160706 -0.1343524307012558 0.15973712503910065 -0.08649659901857376 -0.1991547793149948 -0.003975391387939453 -0.046039462089538574 0.14484229683876038 -0.2017475664615631 -0.08507049083709717 0.01728787086904049 -0.07737591862678528 0.11566989123821259 0.11862440407276154 0.01189206913113594 0.0618157722055912 -0.1410680115222931 -0.260534405708313 -0.14357885718345642 -0.03951388597488403 0.023773690685629845 -0.09165908396244049 0.032099198549985886 0.09668222814798355 -0.22260509431362152 -0.014980122447013855 -0.0009607672691345215 0.07582128793001175 -0.08117823302745819 -0.2171967774629593 0.15311381220817566 0.05402502045035362 -0.11602207273244858 -0.04687124490737915 0.07526303082704544 0.16140073537826538 0.11610941588878632 -0.057455405592918396 -0.031987983733415604 -0.034776389598846436 0.1342671513557434 -0.24810262024402618 -0.06981004774570465 0.18177276849746704 0.0370417982339859 0.07907702773809433 0.08984914422035217 -0.10634662210941315 0.05622193217277527 0.1853841096162796 -0.24427178502082825 0.08699629455804825 0.0019409507513046265 -0.13905948400497437 -0.0002690255641937256 -0.04011751711368561 0.04429490119218826 0.09604659676551819 -0.07854784280061722 -0.14634764194488525 0.1522964984178543 -0.10531152784824371 -0.05193255841732025 0.11027611047029495 -0.09934639930725098 -0.21789920330047607 -0.20552945137023926 -0.03925701975822449 0.3205724358558655 0.13712741434574127 -0.10770608484745026 0.03980211168527603 -0.0555465891957283 -0.07182775437831879 -0.0030346959829330444 0.08492543548345566 0.02605491131544113 -0.03975577652454376 -0.11126820743083954 0.04496106505393982 0.17373979091644287 -0.02251877635717392 0.005782421678304672 0.29351863265037537 -0.02648451179265976 -0.009541191160678864 -0.05426817759871483 0.06033897399902344 -0.15314185619354248 -0.0001744776964187622 -0.08033832162618637 -0.05063771456480026 0.005753375589847565 -0.06738493591547012 -0.07803931832313538 0.14321860671043396 -0.19295519590377808 0.1665460169315338 0.011476308107376099 -0.10926499217748642 -0.0839836597442627 -0.08413256704807281 -0.07428152859210968 0.056469425559043884 0.12104373425245285 -0.24715307354927063 0.10335736721754074 0.16841328144073486 -0.03645550459623337 0.18096686899662018 -0.012919619679450989 0.0572776198387146 -0.0017633140087127686 -0.12602855265140533 -0.1271418333053589 -0.15090236067771912 -0.0008616074919700623 0.026556864380836487 -0.03405319154262543 -0.015505664050579071
00035493.jpg,-0.19053396582603455 0.11419180780649185 0.04438330978155136 0.021281711757183075 -0.11513238400220871 -0.030595537275075912 -0.022683745250105858 -0.15361355245113373 0.09962651133537292 -0.08514490723609924 0.14905501902103424 -0.013988465070724487 -0.14806966483592987 0.031203001737594604 -0.03629336878657341 0.12741899490356445 -0.10045235604047775 -0.08967329561710358 -0.17451848089694977 -0.14650703966617584 -0.005026932805776596 0.13793888688087463 0.0027996525168418884 -0.025087706744670868 -0.1283247321844101 -0.20573987066745758 -0.029697731137275696 -0.0684359148144722 0.1359853744506836 -0.01612761616706848 0.10390693694353104 0.028905805200338364 -0.18572047352790833 -0.02939504384994507 0.009912088513374329 0.1366480588912964 -0.09817985445261002 -0.05275227874517441 0.22157365083694458 -0.039444953203201294 -0.1822223961353302 0.09365320205688477 0.07859645038843155 0.2551155388355255 0.1468561291694641 -0.11443175375461578 0.08004225045442581 -0.10715554654598236 0.03438538312911987 -0.17647162079811096 0.05007527023553848 0.08405528962612152 0.14606449007987976 0.08578002452850342 0.12291495501995087 -0.10055944323539734 0.039434969425201416 0.13444854319095612 -0.09626531600952148 0.13594171404838562 0.17200766503810883 -0.10092151910066605 -0.012421714141964912 0.012230157852172852 0.10643503814935684 0.016582824289798737 -0.015154499560594559 -0.1815066635608673 0.18041738867759705 -0.15084010362625122 -0.10102051496505737 0.1429225355386734 -0.0028441541362553835 -0.12255678325891495 -0.3155730068683624 0.06410495936870575 0.3777739405632019 0.1173582673072815 -0.14285162091255188 0.0656675398349762 -0.006460882723331451 -0.04964985325932503 0.06794822216033936 0.0705367848277092 -0.0623338520526886 -0.10723881423473358 -0.0928550511598587 0.06789419054985046 0.24798083305358887 0.006737828254699707 -0.02186420187354088 0.1867992877960205 0.1102917343378067 -0.11718717962503433 0.005803856998682022 0.07096770405769348 -0.10418346524238586 -0.035636454820632935 -0.024535171687602997 -0.02235078066587448 0.11378481984138489 -0.11977297812700272 0.034231096506118774 0.12422071397304535 -0.1778818964958191 0.22026327252388 -0.059676557779312134 -0.01035996526479721 0.04608685523271561 0.05292235314846039 -0.03432570770382881 0.048092782497406006 0.1922786384820938 -0.18111015856266022 0.19637247920036316 0.1461743861436844 -0.038755808025598526 0.09599065780639648 0.09260915219783783 0.10069651156663895 0.009420797228813171 0.07535968720912933 -0.1677880734205246 -0.14051535725593567 -0.051943160593509674 -0.04231804609298706 0.008243098855018616 0.15440034866333008
00033753.jpg,-0.10512511432170868 0.09663121402263641 0.11634000390768051 -0.017227778211236 -0.1713804006576538 -0.027478937059640884 0.018442481756210327 -0.1098373532295227 0.2621374726295471 -0.04997550696134567 0.2077265828847885 -0.037193793803453445 -0.21570700407028198 -0.08298861980438232 -0.005323499441146851 0.0903109610080719 -0.09136012941598892 -0.08552258461713791 -0.10088363289833069 -0.0903380736708641 0.06872523576021194 0.015597417950630188 0.04273711144924164 0.0578651949763298 -0.19228582084178925 -0.35179513692855835 -0.09525477886199951 -0.10100801289081573 0.04087412357330322 -0.09210491180419922 -0.00948617048561573 0.08400584757328033 -0.18176227807998657 -0.13434654474258423 0.032273054122924805 0.13050930202007294 -0.0032870396971702576 -0.012502647936344147 0.1725953221321106 -0.041058965027332306 -0.19530552625656128 0.08321692049503326 0.05923263728618622 0.21068637073040009 0.14331980049610138 0.0313650518655777 0.010629069060087204 -0.08093135058879852 0.1852644681930542 -0.12395545095205307 0.10447905957698822 0.16562245786190033 0.18903768062591553 0.07167139649391174 0.10103552043437958 -0.0922907292842865 0.006156831979751587 0.2322874665260315 -0.23905017971992493 0.07430248707532883 0.11482275277376175 -0.1484682261943817 -0.08219358325004578 -0.05643849074840546 0.14762084186077118 0.12625789642333984 -0.12606903910636902 -0.13461343944072723 0.09898819774389267 -0.12848873436450958 -0.06689481437206268 0.04308344051241875 -0.11235185712575912 -0.09781759977340698 -0.2819821834564209 0.07542815804481506 0.4110051393508911 0.06411954760551453 -0.3096556067466736 -0.05349176004528999 -0.09741827845573425 -0.01941801607608795 -0.02105838805437088 0.09034179896116257 -0.06158456951379776 -0.05027179419994354 -0.09666789323091507 -0.02226957678794861 0.1372179388999939 0.018262460827827454 0.05251767113804817 0.2467540204524994 0.06498336791992188 0.026152342557907104 -0.010477731004357338 0.03159208595752716 -0.2205907106399536 -0.03305573761463165 -0.09384871274232864 -0.046902045607566833 0.01999158412218094 -0.0776967853307724 -0.04317818582057953 0.012085430324077606 -0.2697242200374603 0.25880467891693115 0.013143301010131836 -0.027090229094028473 -0.009196758270263672 -0.057047560811042786 -0.034888360649347305 0.022964447736740112 0.17883649468421936 -0.28104719519615173 0.2383686900138855 0.11226911097764969 0.02151729166507721 0.19533923268318176 0.03198949992656708 0.0662568211555481 0.005944162607192993 -0.00491681694984436 -0.08930706977844238 -0.12282031774520874 0.0700891986489296 -0.1393825113773346 0.05755212903022766 0.02339036762714386
00035450.jpg,
00035478.jpg,-0.11095216870307922 0.14907369017601013 0.057213909924030304 -0.12731139361858368 -0.1897532045841217 -0.03091665357351303 -0.08202564716339111 -0.19448481500148773 0.2319795936346054 -0.12173902243375778 0.16245481371879578 -0.06816587597131729 -0.26161307096481323 0.08401841670274734 -0.13784007728099823 0.1234709769487381 -0.2207249104976654 -0.12765881419181824 -0.09859839826822281 -0.057515017688274384 0.03905940055847168 0.004332930315285921 0.04611356556415558 0.11756736040115356 -0.10571546852588654 -0.2719756066799164 -0.05840910226106644 -0.040575213730335236 0.0117462407797575 -0.1888417899608612 0.02493690699338913 0.019206590950489044 -0.2377464771270752 -0.03593366593122482 -0.0434170700609684 0.18569326400756836 0.002366490662097931 -0.13961991667747498 0.0827116072177887 -0.04025433212518692 -0.24529826641082764 -0.0778694748878479 0.07404318451881409 0.2669792175292969 0.2320435345172882 -0.010321371257305145 -0.03643873706459999 -0.13689643144607544 0.151646226644516 -0.2356838583946228 0.08420718461275101 0.14399732649326324 -0.02127249166369438 0.04251815378665924 0.06652756780385971 -0.18476274609565735 0.04141479730606079 0.11594685167074203 -0.10586760193109512 0.020363876596093178 0.20543448626995087 -0.04183367267251015 -0.012589015066623688 -0.11373956501483917 0.19326923787593842 0.1039666086435318 -0.10419285297393799 -0.17532825469970703 0.1523556262254715 -0.20597630739212036 -0.06276984512805939 0.06864611059427261 -0.1397765725851059 -0.15949955582618713 -0.30186161398887634 -0.03265710175037384 0.42150670289993286 0.16432246565818787 -0.0941174328327179 0.03091350942850113 -0.08058970421552658 -0.012136705219745636 0.015987463295459747 0.1847987025976181 0.032052699476480484 0.10272000730037689 -0.12726370990276337 0.13165724277496338 0.190451979637146 -0.036702804267406464 -0.0035529136657714844 0.28418952226638794 -0.011733554303646088 -0.06140757352113724 -0.0003663506358861923 0.07465925812721252 -0.18628770112991333 0.05193224549293518 -0.18649232387542725 -0.015989407896995544 0.03964146226644516 0.028061101213097572 -0.023715510964393616 0.12822403013706207 -0.13092103600502014 0.13941709697246552 0.0030818358063697815 0.012997683137655258 -0.006701871752738953 -0.08563964068889618 -0.07545238733291626 -0.0941852480173111 0.21867209672927856 -0.21910421550273895 0.1412908285856247 0.14793702960014343 0.1079966127872467 0.10174163430929184 0.03771921247243881 0.10922271758317947 0.08670567721128464 -0.012404665350914001 -0.1480906456708908 -0.006922324653714895 -0.035984307527542114 -0.0909065306186676 0.001979634165763855 0.05312059819698334
00032854.jpg,-0.09955939650535583 0.1579190194606781 0.035791538655757904 -0.008053500205278397 -0.22949019074440002 0.012747682631015778 -0.015808671712875366 -0.09653809666633606 0.17534440755844116 0.01830204948782921 0.14530661702156067 -0.07072450965642929 -0.22873321175575256 0.03557223826646805 -0.054600100964307785 0.20875123143196106 -0.09834273159503937 -0.20721209049224854 -0.07865003496408463 -0.023967057466506958 0.010652663186192513 0.09165577590465546 0.022601548582315445 0.08173277974128723 -0.142313152551651 -0.37025558948516846 0.024774882942438126 -0.053438667207956314 0.03797776252031326 -0.12558579444885254 -0.03316529840230942 0.1715216040611267 -0.22209861874580383 -0.0574210025370121 0.1278199851512909 0.16571876406669617 -0.024554528295993805 -0.07759520411491394 0.1565881371498108 0.09910877794027328 -0.25809988379478455 -0.04626762866973877 0.13902345299720764 0.2863922715187073 0.21789632737636566 0.0022691097110509872 0.05819479003548622 -0.11728200316429138 0.07887093722820282 -0.3050360083580017 0.04155980795621872 0.17540383338928223 0.03962936997413635 0.09868320822715759 0.01999218761920929 -0.23875415325164795 0.002488642930984497 0.058074213564395905 -0.2167339324951172 0.08856447786092758 0.17036032676696777 -0.03889591991901398 -0.06578885018825531 -0.10582353174686432 0.1910925656557083 0.06985576450824738 -0.10926972329616547 -0.15494295954704285 0.11285907030105591 -0.15988093614578247 -0.060015592724084854 0.07422903180122375 -0.11723455786705017 -0.21737977862358093 -0.28622058033943176 -0.00010733306407928467 0.34414809942245483 0.15028423070907593 -0.13720087707042694 0.027994032949209213 -0.042337968945503235 0.01645577698945999 -0.035038188099861145 0.08748400211334229 0.026015106588602066 -0.011900588870048523 -0.08631507307291031 0.06581078469753265 0.2321438044309616 -0.04129472374916077 0.033594317734241486 0.2580143213272095 -0.028503775596618652 -0.012449018657207489 -0.044883400201797485 0.1628415435552597 -0.13015839457511902 0.04274842143058777 -0.14075680077075958 -0.038063667714595795 -0.04156503826379776 -0.04245620593428612 0.04195840656757355 0.09350228309631348 -0.23385900259017944 0.13858924806118011 -0.032923728227615356 0.009309783577919006 -0.04734806716442108 -0.07647402584552765 -0.087558314204216 -0.004077121615409851 0.17555919289588928 -0.23778071999549866 0.260494589805603 0.2027982771396637 0.036684948951005936 0.12541869282722473 0.0846547782421112 0.03907744586467743 0.09104029089212418 -0.06949055939912796 -0.11157424002885818 -0.07178114354610443 -0.0061840638518333435 -0.0957525372505188 -0.07868464291095734 0.07294116914272308
00033586.jpg,-0.022062890231609344 0.0601087287068367 0.0045313648879528046 -0.13539940118789673 -0.09190762042999268 -0.011446475982666016 -0.04039264842867851 -0.09346901625394821 0.11901640892028809 -0.1229918822646141 0.2401677370071411 -0.044766318053007126 -0.1776617169380188 -0.037480778992176056 0.0452987402677536 0.16006775200366974 -0.18102562427520752 -0.16022451221942902 -0.11142487823963165 -0.03234151005744934 -0.05557949095964432 0.08392611145973206 -0.031776364892721176 0.09392175078392029 -0.20024390518665314 -0.3248365521430969 -0.03823619335889816 -0.13607534766197205 0.01368062011897564 -0.04720456898212433 0.015341099351644516 0.1989610493183136 -0.14254382252693176 -0.021569035947322845 0.07833210378885269 0.06169627234339714 -0.10175424814224243 -0.09115701168775558 0.2504328787326813 0.0760711133480072 -0.20923399925231934 0.00400872528553009 0.018523842096328735 0.32076698541641235 0.16788920760154724 -0.09784106910228729 0.07203129678964615 -0.01014527678489685 0.13190394639968872 -0.2778414785861969 0.03699367493391037 0.1203339695930481 0.09602437168359756 0.10108840465545654 0.024135082960128784 -0.12952983379364014 0.08169469237327576 0.11185723543167114 -0.26653411984443665 0.0296317245811224 0.06487162411212921 -0.13723355531692505 -0.025502637028694153 -0.060367509722709656 0.1578390896320343 0.05275368317961693 -0.10519144684076309 -0.14561280608177185 0.15648208558559418 -0.12304415553808212 -0.08979611843824387 0.058748044073581696 -0.15245725214481354 -0.18622194230556488 -0.30183863639831543 0.03536936640739441 0.3260658085346222 0.15918126702308655 -0.16048400104045868 0.050687454640865326 0.003149352502077818 -0.11234112083911896 0.022840559482574463 0.0991610512137413 0.0019927434623241425 -0.07415147125720978 -0.014581550844013691 0.06211671233177185 0.2262839525938034 -0.02306731790304184 -0.022759029641747475 0.2276250123977661 0.012012526392936707 -0.029998034238815308 0.031284913420677185 0.02625998854637146 -0.07231893390417099 0.009921730495989323 -0.08830147236585617 0.09092024713754654 -0.050625018775463104 -0.06537283211946487 -0.03555452823638916 0.15145578980445862 -0.19973599910736084 0.2749543786048889 -0.00600770115852356 -0.04571153223514557 -0.020693324506282806 0.0077371746301651 -0.08721949905157089 -0.07555036246776581 0.1499864012002945 -0.21701392531394958 0.10755327343940735 0.19589033722877502 0.14001838862895966 0.1297435462474823 0.03837704658508301 -0.03283463418483734 0.005173146724700928 0.0036893337965011597 -0.286091685295105 -0.09757804870605469 0.10127846896648407 -0.03139401972293854 -0.03179934620857239 0.047873370349407196
00032840.jpg,0.0336838960647583 0.12087862193584442 0.015746181830763817 -0.04010484740138054 -0.04390481859445572 0.03221609443426132 0.004382980987429619 -0.11566182971000671 0.09281870722770691 -0.053951893001794815 0.2180519700050354 -0.05466395244002342 -0.2866431474685669 -0.06339472532272339 -0.03295666724443436 0.07340008020401001 -0.0747598186135292 -0.06423751264810562 -0.15856723487377167 -0.028221510350704193 0.08843478560447693 0.04523611068725586 0.026818521320819855 -0.005794987082481384 -0.10495179891586304 -0.25101199746131897 -0.04548470303416252 -0.0723252147436142 0.06729328632354736 -0.15897993743419647 0.01814844459295273 0.01915399730205536 -0.21261164546012878 -0.04117289558053017 0.0013663247227668762 0.014931987971067429 -0.03923722356557846 -0.047291018068790436 0.2538100481033325 0.06815867125988007 -0.17694061994552612 0.05996611714363098 0.07712939381599426 0.2413375973701477 0.172021746635437 -0.007325218990445137 0.03796893358230591 -0.13844776153564453 0.14046618342399597 -0.2519751489162445 0.09454791992902756 0.10771196335554123 0.17414383590221405 0.11447079479694366 0.10339023917913437 -0.1897183358669281 0.04563984274864197 0.10715064406394958 -0.21594183146953583 0.16313514113426208 0.11846885085105896 -0.060645367950201035 -0.016877086833119392 0.0015276744961738586 0.1485447883605957 -0.017603589221835136 -0.1126188337802887 -0.11674237251281738 0.12102449685335159 -0.15855146944522858 -0.021740727126598358 0.1371149867773056 -0.018048327416181564 -0.19178174436092377 -0.2997215986251831 0.0818902999162674 0.3604739308357239 0.18691480159759521 -0.2451101392507553 0.01364826038479805 -0.10819850116968155 -0.05653468519449234 0.11995577812194824 0.03702186048030853 -0.033845387399196625 -0.0008569806814193726 -0.08971334993839264 0.026879549026489258 0.22169378399848938 -0.04344712942838669 -0.009736359119415283 0.3189516067504883 0.04336966574192047 0.005354374647140503 0.015571501106023788 0.0635719895362854 -0.1245792955160141 -0.019452739506959915 -0.11566033214330673 0.027439743280410767 -0.008802108466625214 -0.1746445596218109 0.009500443935394287 0.05153058469295502 -0.22606778144836426 0.16479572653770447 0.0010598301887512207 -0.06016676872968674 -0.016829341650009155 -0.03982388973236084 -0.1310485303401947 0.007497429847717285 0.16196754574775696 -0.359315425157547 0.20084580779075623 0.1560622751712799 0.05889654904603958 0.10176287591457367 0.11597782373428345 0.08591174334287643 0.06754143536090851 -0.062710240483284 -0.11844007670879364 -0.11239698529243469 0.032585445791482925 0.0001831650733947754 0.012520775198936462 0.0359099805355072
00035861.jpg,-0.1002078652381897 0.100393146276474 0.07482549548149109 -0.09991059452295303 -0.13558857142925262 -0.007078766822814941 -0.06979315727949142 -0.09566135704517365 0.21927466988563538 -0.09742414206266403 0.14902636408805847 -0.03653908520936966 -0.2020873874425888 0.04883304983377457 -0.003776058554649353 0.14922428131103516 -0.13413186371326447 -0.15957798063755035 -0.07993774116039276 -0.03264938294887543 0.09923280775547028 0.11249052733182907 -0.01575324684381485 0.041433706879615784 -0.1532653272151947 -0.22518572211265564 -0.1224871352314949 -0.08859697729349136 -0.05992404371500015 -0.09694129228591919 0.025853481143712997 0.08812016248703003 -0.15655939280986786 -0.017656631767749786 0.013882040977478027 0.13120044767856598 -0.05305149406194687 -0.05412064492702484 0.10092771798372269 -0.0077194347977638245 -0.27630770206451416 0.009111285209655762 0.1330406665802002 0.18159402906894684 0.22460231184959412 0.0843392089009285 0.004750169813632965 -0.08563168346881866 0.08700091391801834 -0.2695082426071167 0.021593986079096794 0.13515585660934448 0.0009914152324199677 0.14174556732177734 0.04178611934185028 -0.22248701751232147 0.028990447521209717 0.10199140757322311 -0.19147536158561707 0.04625670611858368 0.12652309238910675 -0.14386677742004395 0.012395203113555908 -0.05916222929954529 0.22722601890563965 0.10076753050088882 -0.12796330451965332 -0.1805533766746521 0.14218837022781372 -0.21355494856834412 -0.126881405711174 0.18639077246189117 -0.15685662627220154 -0.17820292711257935 -0.31523367762565613 0.011265605688095093 0.4800843894481659 0.08869066834449768 -0.05682595819234848 0.042603760957717896 -0.03611863777041435 -0.010357685387134552 -0.026163503527641296 0.1269524097442627 0.022658351808786392 -0.018760845065116882 -0.09704044461250305 -0.006634533405303955 0.2846262454986572 -0.04817318171262741 0.01659519225358963 0.21765078604221344 0.03113967925310135 0.03513414412736893 -0.030322348698973656 0.11373177170753479 -0.04166053980588913 -0.03238461911678314 -0.10764261335134506 0.015181168913841248 -0.13952288031578064 -0.051554977893829346 -0.07043556869029999 0.10280153900384903 -0.12283778190612793 0.19367080926895142 -0.005930766463279724 -0.03742639720439911 -0.1666608601808548 0.009306490421295166 -0.040381550788879395 -0.01269635558128357 0.17082172632217407 -0.266928493976593 0.13791562616825104 0.18084244430065155 0.06834898889064789 0.15182806551456451 0.01343294233083725 0.1741783618927002 -0.034489139914512634 -0.01958562433719635 -0.19399325549602509 -0.07351567596197128 0.02775903046131134 -0.0214010551571846 0.021409794688224792 0.1016601026058197
00034558.jpg,
