Filename,Encodings
00034799.jpg,-0.07594921439886093 0.06938763707876205 0.006504974793642759 -0.0968102291226387 -0.09269659221172333 -0.06368017196655273 0.01061221957206726 -0.11078312993049622 0.18546085059642792 -0.11525355279445648 0.24893416464328766 -0.039385076612234116 -0.1796639859676361 -0.044144462794065475 -0.07757933437824249 0.1761724054813385 -0.227761909365654 -0.170103520154953 -0.04692251980304718 0.025566577911376953 0.10835230350494385 -0.015986649319529533 -0.009028006345033646 0.0531805157661438 -0.1469249725341797 -0.3441556990146637 -0.08947710692882538 -0.08370518684387207 0.0022102603688836098 -0.05037039518356323 0.02898404747247696 0.07221688330173492 -0.24594976007938385 -0.04950461536645889 0.020585261285305023 0.07367511093616486 0.0022957175970077515 -0.0872393548488617 0.19683843851089478 0.02803868055343628 -0.2541550099849701 0.05661383271217346 0.025388799607753754 0.25804075598716736 0.11541713774204254 -0.022266384214162827 0.023550793528556824 -0.1195354163646698 0.11543670296669006 -0.1523820459842682 0.008838733658194542 0.13168862462043762 0.06844063848257065 0.05605531111359596 0.0006963089108467102 -0.0710596814751625 0.08795511722564697 0.11936521530151367 -0.18837295472621918 0.011464769020676613 0.09658686816692352 -0.08032772690057755 0.0007418710738420486 -0.06262360513210297 0.1865081936120987 0.05716181918978691 -0.09255211055278778 -0.1488887071609497 0.13437028229236603 -0.12334764748811722 -0.08534298837184906 0.02392776682972908 -0.13240215182304382 -0.16831818222999573 -0.27872705459594727 0.001609310507774353 0.39458167552948 0.0651606023311615 -0.19462800025939941 0.07516691088676453 -0.047348834574222565 -0.004065319895744324 0.1569186896085739 0.13329839706420898 0.007538121193647385 0.041932612657547 -0.09771184623241425 0.031946420669555664 0.26757022738456726 -0.03878641873598099 -0.03928090259432793 0.22167466580867767 -0.02404603362083435 0.012039728462696075 0.05719728022813797 0.017922893166542053 -0.04591616243124008 0.05675231292843819 -0.10227266699075699 0.050921276211738586 0.032802946865558624 -0.05844414234161377 -0.07443739473819733 0.09723034501075745 -0.15333761274814606 0.07419246435165405 0.009748615324497223 0.012158185243606567 0.01233210414648056 0.02791503071784973 -0.11425483226776123 -0.10389229655265808 0.08994770795106888 -0.22920915484428406 0.2516237497329712 0.17673003673553467 0.0047864411026239395 0.09261294454336166 0.08057461678981781 0.04813534766435623 -0.011868223547935486 -0.011147335171699524 -0.2009359747171402 -0.05731054022908211 0.1093064397573471 -0.001397453248500824 0.08167795836925507 -0.028848007321357727
00033960.jpg,-0.0972464308142662 0.12546220421791077 0.1562286615371704 -0.09026238322257996 -0.17164255678653717 0.028469562530517578 -0.028720278292894363 -0.045336633920669556 0.14129768311977386 -0.14840000867843628 0.1596023291349411 -0.05908537656068802 -0.260305792093277 0.0856049656867981 -0.07548724114894867 0.16884559392929077 -0.13633406162261963 -0.19429732859134674 -0.1361052542924881 -0.17853868007659912 -0.010941246524453163 0.10724006593227386 -0.06988181918859482 0.008133657276630402 -0.12780097126960754 -0.2716003358364105 -0.004761233925819397 -0.035801298916339874 0.03144102543592453 -0.11740592122077942 -0.02290746569633484 0.08216734230518341 -0.13030070066452026 0.03566145524382591 0.06803697347640991 0.09076815843582153 -0.08366075903177261 -0.0943816751241684 0.1807805895805359 0.07786740362644196 -0.18607795238494873 0.0235680490732193 0.11577016115188599 0.32709088921546936 0.2471965104341507 -0.018770016729831696 0.006443023681640625 -0.03997039794921875 0.16076889634132385 -0.31721231341362 0.05845467373728752 0.16214574873447418 0.1529243439435959 0.14177143573760986 0.06163061410188675 -0.22801867127418518 -0.052628129720687866 0.11264963448047638 -0.15372826159000397 0.11445538699626923 0.10328179597854614 -0.16072793304920197 -0.08221657574176788 -0.059613265097141266 0.2057296186685562 0.10523533821105957 -0.16937004029750824 -0.1712363213300705 0.1895572543144226 -0.13049659132957458 -0.027054332196712494 0.11742590367794037 -0.11793787777423859 -0.12327899783849716 -0.1227748692035675 0.10288161039352417 0.4213034510612488 0.12567779421806335 -0.141032412648201 -0.03584868460893631 -0.08086078613996506 0.005423683673143387 -0.03330299258232117 0.09751424938440323 -0.06481263041496277 -0.05830609053373337 -0.05517225340008736 0.06042405962944031 0.2109799087047577 -0.06613136827945709 -0.04653673991560936 0.23117999732494354 0.041808370500802994 -0.045832544565200806 -0.013385123573243618 0.06581717729568481 -0.1552000641822815 -0.020645268261432648 -0.1331137865781784 -0.08069626986980438 -0.022295638918876648 -0.12006059288978577 -0.007645085453987122 0.06226688623428345 -0.16236111521720886 0.2078995704650879 -0.027281254529953003 -0.002797730267047882 -0.055465757846832275 -0.006755068898200989 -0.0620143786072731 -0.008469939231872559 0.16781431436538696 -0.26355525851249695 0.1600538045167923 0.18098436295986176 0.08408236503601074 0.1657244712114334 0.07946116477251053 0.04525485634803772 0.1109052300453186 -0.047856442630290985 -0.05376772582530975 -0.12090510129928589 0.006325971335172653 0.01513160765171051 -0.009862229228019714 0.05599517002701759
00034982.jpg,-0.06511174887418747 0.14356441795825958 0.04460639879107475 0.008558675646781921 -0.09946373850107193 0.03667532652616501 -0.03142587095499039 -0.108002670109272 0.07184073328971863 -0.07686275988817215 0.13367877900600433 -0.07939017564058304 -0.2624138593673706 -0.07234709709882736 -0.020011261105537415 0.13979151844978333 -0.22724872827529907 -0.1581946760416031 -0.1863078773021698 -0.16068439185619354 0.00810228195041418 0.1271682232618332 -0.0008987896144390106 -0.014988750219345093 -0.19443924725055695 -0.3361038565635681 -0.0004447624087333679 -0.08017489314079285 0.027867477387189865 -0.12389104068279266 0.09662090241909027 0.028225526213645935 -0.1925448477268219 0.029926955699920654 0.0016214251518249512 0.0696708932518959 -0.05727779120206833 -0.04597374051809311 0.2035197615623474 0.0654757097363472 -0.13676735758781433 0.04178977012634277 0.01572687178850174 0.26073402166366577 0.20315833389759064 0.02372172847390175 0.0002624690532684326 -0.03191635012626648 0.09908822178840637 -0.25360801815986633 0.011464904993772507 0.20062585175037384 0.09311174601316452 0.08689497411251068 0.08153750002384186 -0.08578281849622726 -0.008516758680343628 0.07315125316381454 -0.19258280098438263 0.04423995688557625 0.10869753360748291 -0.14450791478157043 -0.03272587060928345 -0.05937376618385315 0.13910244405269623 0.02206973358988762 -0.0981227457523346 -0.13086926937103271 0.14119014143943787 -0.20501652359962463 -0.12271744012832642 0.03924395143985748 0.013724826276302338 -0.09642767906188965 -0.3367863893508911 -0.002106964588165283 0.365226149559021 0.12271963059902191 -0.2175828069448471 -0.0486234650015831 -0.03823389858007431 -0.03493768721818924 0.06430492550134659 0.04244793951511383 -0.09133632481098175 -0.062137216329574585 -0.10427775979042053 0.03223493695259094 0.18783164024353027 0.024846136569976807 -0.07333692908287048 0.20910649001598358 0.03374717757105827 -0.03403893858194351 0.06135076284408569 0.02109597623348236 -0.1263173520565033 -0.03817068040370941 -0.016510378569364548 0.027657851576805115 0.028741002082824707 -0.12201303243637085 -0.017668485641479492 0.06442610919475555 -0.09136831015348434 0.2780677378177643 -0.045916974544525146 -0.028026269748806953 -0.0434887632727623 0.004875078797340393 -0.1474238783121109 0.0412689745426178 0.2205183357000351 -0.2806518077850342 0.17771919071674347 0.18066158890724182 -0.052098348736763 0.1374863237142563 0.06668409705162048 0.11042589694261551 -0.10129230469465256 0.03624778985977173 -0.1738201081752777 -0.22088071703910828 -0.019594870507717133 -0.043805889785289764 0.06998462975025177 0.062159955501556396
00033747.jpg,
00035691.jpg,
00033545.jpg,-0.012245997786521912 0.08881885558366776 0.044142551720142365 -0.039894700050354004 -0.24415872991085052 0.03901607543230057 0.013123899698257446 -0.1293760985136032 0.21257808804512024 -0.10224751383066177 0.18191248178482056 -0.011993851512670517 -0.23609308898448944 0.03512268513441086 0.03300892561674118 0.1765974760055542 -0.1864956021308899 -0.2632620632648468 -0.12496304512023926 0.009139150381088257 -0.04173613712191582 -0.0362984836101532 0.03201664611697197 0.040228892117738724 -0.09971864521503448 -0.3210156559944153 -0.02041340246796608 -0.029205068945884705 0.12285102903842926 -0.10971260070800781 -0.05345170944929123 0.1707991063594818 -0.17327822744846344 -0.02150930091738701 0.06891325116157532 0.13903281092643738 -0.10829608142375946 -0.1294897496700287 0.178514301776886 -0.023085130378603935 -0.26278412342071533 0.06039002537727356 0.08626334369182587 0.21287965774536133 0.2213464379310608 -0.02718210220336914 0.036703307181596756 -0.07223585247993469 0.1410817950963974 -0.3324752449989319 0.09354516863822937 0.11518670618534088 0.09027586132287979 0.11583048105239868 0.1078009083867073 -0.19289356470108032 -0.01942881941795349 0.1562470942735672 -0.19553686678409576 0.11151114106178284 0.13590826094150543 -0.11092649400234222 -0.023345306515693665 -0.16852234303951263 0.22163471579551697 0.1316155195236206 -0.08826456218957901 -0.2407933473587036 0.11073793470859528 -0.14529816806316376 -0.14533761143684387 0.11579012870788574 -0.10777685046195984 -0.11434900015592575 -0.25878632068634033 0.02328367531299591 0.353339284658432 0.1376706063747406 -0.08494161069393158 0.041281554847955704 -0.0059434883296489716 -0.05947815626859665 -0.10557697713375092 0.08012581616640091 -0.018485240638256073 -0.056847333908081055 -0.12869954109191895 0.007700204849243164 0.23505672812461853 -0.04507841914892197 0.010141152888536453 0.26395487785339355 -0.012261103838682175 -0.0070206597447395325 -0.05375199019908905 0.05855032056570053 -0.10693932324647903 0.017339400947093964 -0.17110928893089294 -0.09006839990615845 -0.043389447033405304 -0.04357416555285454 -0.008049547672271729 0.08381687849760056 -0.14690466225147247 0.11577260494232178 -0.09961477667093277 0.06700456142425537 0.0050649493932724 -0.037502288818359375 -0.0842171311378479 -0.0187273770570755 0.11560285091400146 -0.359028697013855 0.21788473427295685 0.16101889312267303 0.14180926978588104 0.04108826071023941 0.03484946861863136 0.007939055562019348 0.08319682627916336 -0.015330761671066284 -0.1603332757949829 -0.058912571519613266 0.06144057214260101 -0.04507051408290863 -0.07929377257823944 0.13128545880317688
00032673.jpg,
00032667.jpg,
00032920.jpg,-0.11139615625143051 0.02624613419175148 0.06001002714037895 -0.04305625706911087 -0.07834940403699875 -0.11506364494562149 -0.010959796607494354 -0.22711172699928284 0.14261871576309204 -0.19427746534347534 0.1902816891670227 -0.023549605160951614 -0.17024880647659302 -0.05966067686676979 0.011089228093624115 0.13462857902050018 -0.15505129098892212 -0.14564329385757446 -0.07603580504655838 -0.04060794413089752 0.04081118106842041 0.03774251416325569 0.02268611639738083 0.04043794423341751 -0.10096966475248337 -0.32045578956604004 -0.16431494057178497 -0.11925739049911499 -0.021543044596910477 0.013879969716072083 -0.03190559893846512 0.04740987718105316 -0.1931065022945404 -0.03427763283252716 0.016042940318584442 0.0467132031917572 0.04036802053451538 -0.0313713513314724 0.16060572862625122 0.01734553463757038 -0.19059798121452332 -0.054623618721961975 0.06179438531398773 0.19144338369369507 0.15469706058502197 -0.03956138342618942 -0.01249716430902481 -0.0526118278503418 0.06767100840806961 -0.21691635251045227 -0.010830255225300789 0.05072882026433945 0.11919146776199341 0.03609824180603027 0.04500871151685715 -0.17507483065128326 -0.0014366507530212402 0.05345296114683151 -0.16391123831272125 -0.006251772865653038 -0.008291259407997131 -0.13910827040672302 -0.13217395544052124 0.001248180866241455 0.27011147141456604 0.12771694362163544 -0.12105411291122437 -0.07482040673494339 0.14082404971122742 -0.13201209902763367 0.009265810251235962 0.01441873237490654 -0.14069563150405884 -0.13515137135982513 -0.2478642463684082 -0.009973183274269104 0.3917582631111145 0.01868961751461029 -0.24333834648132324 0.02942090481519699 -0.1674709916114807 0.02504349872469902 0.04082201421260834 0.03689967095851898 -0.015085656195878983 0.06336105614900589 -0.10033062100410461 0.03201796114444733 0.15851743519306183 -0.11828842759132385 0.0386173352599144 0.24304310977458954 -0.03683615103363991 0.03209429979324341 0.0616677962243557 0.0252370685338974 -0.06942061334848404 -0.09252776950597763 -0.1257471740245819 -0.04700383543968201 0.08096460998058319 -0.07232643663883209 -0.03658030927181244 0.08575046062469482 -0.23918278515338898 0.08213908225297928 0.03082258254289627 -0.0912860855460167 0.03262227773666382 -0.04498293995857239 -0.08180342614650726 -0.11822692304849625 0.13336026668548584 -0.20984017848968506 0.13934941589832306 0.17263859510421753 -0.09929242730140686 0.21186190843582153 -0.020652301609516144 0.06610383838415146 -0.09443527460098267 -0.019317984580993652 -0.11426659673452377 -0.04289025440812111 0.1054902896285057 0.011354908347129822 -0.020131975412368774 -0.03364870697259903
00032908.jpg,
