Filename,Encodings
00032459.jpg,-0.20410874485969543 0.010480858385562897 0.03784247115254402 -0.024519333615899086 -0.11040299385786057 -0.07940477132797241 -0.0035247802734375 -0.11105763167142868 0.14520910382270813 -0.1559099704027176 0.14378862082958221 -0.09505128860473633 -0.2216094583272934 0.05158406123518944 -0.08219314366579056 0.16112753748893738 -0.19687464833259583 -0.15227696299552917 -0.13808681070804596 -0.1138092651963234 0.0920448899269104 0.09550709277391434 -0.00907459482550621 0.05656562000513077 -0.16881583631038666 -0.32737985253334045 -0.08852903544902802 -0.13826921582221985 0.10503025352954865 0.026703625917434692 -0.04544059932231903 -0.011812768876552582 -0.16103456914424896 -0.02332741767168045 0.12570296227931976 0.08157520741224289 -0.02330615371465683 -0.026716142892837524 0.24960392713546753 0.01059967651963234 -0.2740299701690674 -0.05674299597740173 0.11156796663999557 0.2484709918498993 0.15362784266471863 0.05203763023018837 0.004378708079457283 -0.08064538240432739 0.15045234560966492 -0.28165462613105774 0.003907922655344009 0.1966506391763687 0.14075763523578644 0.06546074151992798 0.09848959743976593 -0.13002708554267883 0.003808826208114624 0.16935357451438904 -0.18063847720623016 0.10014490783214569 0.11419806629419327 -0.13186518847942352 -0.04589433595538139 -0.04028505086898804 0.18446967005729675 0.06127716600894928 -0.19504329562187195 -0.11493448913097382 0.19134461879730225 -0.22977568209171295 -0.021121982485055923 0.06330186873674393 -0.05634986609220505 -0.18774005770683289 -0.25933825969696045 -0.07096207141876221 0.4770764410495758 0.11692909896373749 -0.141063392162323 0.030162017792463303 -0.077165886759758 -0.021069757640361786 0.07891733944416046 0.11292927712202072 -0.1007857695221901 0.03529372066259384 -0.07132647186517715 0.003974303603172302 0.228663831949234 -0.0469612181186676 0.06393646448850632 0.20895308256149292 -0.0065384916961193085 0.01522226631641388 0.01803934946656227 0.09962823987007141 -0.19399315118789673 -0.1254970282316208 -0.054239556193351746 -0.014915570616722107 0.013206176459789276 -0.08819389343261719 0.02568429708480835 0.0763329267501831 -0.19319960474967957 0.17757315933704376 -0.07668428868055344 -0.04497797414660454 -0.05599420517683029 -0.010731890797615051 -0.05409863218665123 -0.012012377381324768 0.13642741739749908 -0.19084155559539795 0.15088531374931335 0.19942030310630798 -0.04848606139421463 0.16510455310344696 0.06614485383033752 0.00343988835811615 -0.020790964365005493 0.007750332355499268 -0.1913626492023468 -0.1661200225353241 0.01635703071951866 -0.0909070074558258 0.0422285795211792 -0.0365116186439991
00033021.jpg,
00035875.jpg,-0.09863531589508057 0.08358503878116608 0.007072949782013893 -0.0566096305847168 -0.127908855676651 0.08185771107673645 -0.0035458412021398544 -0.10738697648048401 0.059343911707401276 0.019323695451021194 0.3355461359024048 -0.003538716584444046 -0.373881995677948 -0.02650531753897667 -0.05559578910470009 0.07404565066099167 -0.12517309188842773 -0.07708153128623962 -0.15236270427703857 -0.0999828577041626 -0.04767118766903877 0.026722442358732224 0.036690160632133484 -0.02528722584247589 -0.07388576865196228 -0.28838711977005005 -0.004388444125652313 -0.036850493401288986 0.06448599696159363 -0.16267883777618408 0.09141320735216141 0.06946077942848206 -0.17779788374900818 0.008009850978851318 0.039691537618637085 0.013573676347732544 -0.12260674685239792 -0.08777623623609543 0.3165457248687744 -0.024266844615340233 -0.10596971958875656 0.007489562034606934 0.048425331711769104 0.2328469306230545 0.12157797068357468 -0.01499013788998127 0.03520704433321953 -0.09857724606990814 0.020017877221107483 -0.2828938364982605 0.05193290859460831 0.24464181065559387 0.11625479906797409 0.026237081736326218 -0.007760100066661835 -0.17789027094841003 -0.0667206346988678 0.14656893908977509 -0.15527449548244476 0.09378188848495483 0.05977144464850426 -0.10347911715507507 -0.12604328989982605 -0.13935622572898865 0.17564049363136292 0.10319599509239197 -0.17000079154968262 -0.1470620036125183 0.14263184368610382 -0.08506152033805847 -0.09023918211460114 0.07398873567581177 -0.11414407193660736 -0.24878184497356415 -0.1981130689382553 0.12921109795570374 0.3301578164100647 0.11089013516902924 -0.19968056678771973 0.021236997097730637 -0.0621243454515934 -0.061389900743961334 -0.02060128003358841 0.04946710169315338 -0.09816727787256241 -0.09282997995615005 -0.039107657968997955 0.04915627837181091 0.1779487282037735 -0.03966965526342392 -0.07406661659479141 0.20644770562648773 0.00264585018157959 0.003587581217288971 0.039812710136175156 0.05974210798740387 -0.039687663316726685 -0.026601526886224747 -0.10860219597816467 0.026632927358150482 0.05976792424917221 -0.1561034619808197 0.039949700236320496 0.06286052614450455 -0.12190472334623337 0.17057806253433228 -0.013295397162437439 -0.04829670488834381 0.061161793768405914 -0.06483259797096252 -0.06763169169425964 -0.007602080702781677 0.21452532708644867 -0.3274412155151367 0.32608920335769653 0.17239558696746826 0.080536849796772 0.147675022482872 0.14723588526248932 0.08724114298820496 0.074820376932621 0.04519199579954147 -0.13719047605991364 -0.14534780383110046 0.0243731327354908 -0.023578081279993057 0.033006057143211365 0.012547574937343597
00035134.jpg,-0.11667617410421371 0.028548307716846466 0.08850452303886414 -0.05005684122443199 -0.10829201340675354 -0.11371132731437683 0.02791934460401535 -0.12374383211135864 0.1440739780664444 -0.038672223687171936 0.14621847867965698 -0.010915383696556091 -0.22390709817409515 -0.06590105593204498 -0.039716802537441254 0.18538512289524078 -0.12920638918876648 -0.19559267163276672 -0.08799012005329132 -0.025726765394210815 0.053162116557359695 0.045306574553251266 0.05347880721092224 0.06900515407323837 -0.1776277720928192 -0.24018441140651703 -0.05393169820308685 -0.03256288915872574 -0.11868613958358765 -0.05289715528488159 0.0298746507614851 0.15167348086833954 -0.20951861143112183 -0.02185080200433731 0.07243230938911438 0.09516476839780807 -0.07132947444915771 -0.09040088206529617 0.2338797152042389 0.015826603397727013 -0.24415728449821472 0.00532899796962738 0.11225178092718124 0.26594921946525574 0.2545642554759979 -0.056813113391399384 -0.022107118740677834 -0.04814004898071289 0.12195253372192383 -0.2710382044315338 -0.03587334603071213 0.19536997377872467 0.1292847841978073 0.023061178624629974 0.04977814853191376 -0.12868745625019073 0.006641089916229248 0.17688751220703125 -0.23650631308555603 -0.008490987122058868 0.01412820816040039 -0.1253785490989685 -0.027727268636226654 -0.1155422255396843 0.18758754432201385 0.08653779327869415 -0.19356489181518555 -0.0779663547873497 0.16043759882450104 -0.10073064267635345 -0.04959661886096001 0.05469344183802605 -0.2025311440229416 -0.23588337004184723 -0.30398139357566833 -0.0013809651136398315 0.34249579906463623 0.08225996792316437 -0.17036542296409607 0.03691510111093521 -0.06546647846698761 0.04311763122677803 -0.07605388760566711 0.09430026262998581 -0.05638214945793152 -0.010939061641693115 -0.09320184588432312 0.04087541997432709 0.15494009852409363 -0.04012470692396164 -0.03615616261959076 0.2176498919725418 0.010396238416433334 -0.046211808919906616 -0.03120642900466919 0.014885865151882172 -0.07820816338062286 0.0038194768130779266 -0.18400682508945465 0.0015601515769958496 -0.056519120931625366 -0.04869779944419861 0.04908580332994461 0.15281449258327484 -0.12338399887084961 0.08046934008598328 0.01141144335269928 -0.025071293115615845 -0.08716534823179245 -0.014309465885162354 -0.1168537586927414 -0.06611159443855286 0.04571055620908737 -0.23163217306137085 0.1906154900789261 0.14049342274665833 -0.016390757635235786 0.10794522613286972 0.040007881820201874 0.05609700083732605 -0.0213446244597435 0.025396741926670074 -0.08798171579837799 -0.043906062841415405 0.11777929961681366 0.011571921408176422 0.11541499197483063 0.042138367891311646
00035083.jpg,
00033431.jpg,-0.07500528544187546 0.03470053896307945 0.009760416112840176 -0.12381211668252945 -0.1079200729727745 -0.07274137437343597 -0.04745503515005112 -0.14111927151679993 0.11404247581958771 -0.10943242907524109 0.19927704334259033 -0.09560932964086533 -0.24448053538799286 -0.0500369668006897 0.0003629028797149658 0.1754566729068756 -0.19955970346927643 -0.0972597599029541 -0.12219974398612976 -0.048344723880290985 0.05096742510795593 0.10837364196777344 0.003452848643064499 0.08008497953414917 -0.14510203897953033 -0.2802654504776001 -0.058593764901161194 -0.10278475284576416 -0.000828055664896965 -0.020304247736930847 0.07556786388158798 0.13798919320106506 -0.1625208705663681 0.017224594950675964 0.02309967577457428 0.06136399134993553 -0.047908492386341095 -0.12097419798374176 0.2334403097629547 -0.0002669151872396469 -0.2248397320508957 0.027643144130706787 0.07642590999603271 0.18454590439796448 0.17177891731262207 -0.08600740134716034 0.0428294837474823 -0.050282061100006104 0.09701807051897049 -0.19466467201709747 -0.048621200025081635 0.1587856411933899 0.04626914858818054 0.053990915417671204 0.043618544936180115 -0.10887397825717926 0.0664391815662384 0.18943661451339722 -0.29490187764167786 -0.024391837418079376 0.0629807636141777 -0.09074383974075317 -0.00571078434586525 -0.022130176424980164 0.15314075350761414 0.053305573761463165 -0.11166045814752579 -0.13694114983081818 0.1504000872373581 -0.16953453421592712 -0.08345962315797806 0.0864688977599144 -0.1715063750743866 -0.16871994733810425 -0.30656594038009644 -0.002528771758079529 0.36147212982177734 0.06989996135234833 -0.09798644483089447 0.08033999055624008 -0.0010099057108163834 -0.1123301237821579 0.044392988085746765 0.05241398513317108 -0.021426253020763397 -0.08869282156229019 -0.03185541182756424 0.07323288917541504 0.2164386808872223 -0.00751195102930069 0.014068618416786194 0.24174369871616364 0.04865788668394089 -0.08512495458126068 0.00045108189806342125 0.005735218524932861 -0.03552564978599548 -0.02793477475643158 -0.05653068423271179 0.07130541652441025 -0.03506412357091904 -0.10382799804210663 -0.01173032820224762 0.09526824951171875 -0.1781635880470276 0.14898283779621124 0.014990255236625671 -0.07816105335950851 -0.062137290835380554 -0.004012003540992737 -0.10293762385845184 -0.018775075674057007 0.152975931763649 -0.2211938202381134 0.15693864226341248 0.1554880142211914 0.09238532185554504 0.10790005326271057 0.012463055551052094 0.035983502864837646 -0.0347253680229187 -0.0028379708528518677 -0.18903204798698425 -0.09796461462974548 0.10930942744016647 -0.0141664519906044 0.07547867298126221 0.03788227587938309
00032713.jpg,-0.08618028461933136 0.006598517298698425 0.004220722243189812 -0.05231408029794693 -0.024720221757888794 -0.04963292181491852 -0.00720418244600296 -0.11904271692037582 0.2097722887992859 -0.14362791180610657 0.10749942064285278 0.03671947866678238 -0.2218211591243744 0.02470506727695465 -0.006501354277133942 0.19129306077957153 -0.10693065077066422 -0.24486306309700012 -0.13308346271514893 -0.04402396082878113 0.04757365211844444 0.037946779280900955 0.011204458773136139 0.13086727261543274 -0.15836966037750244 -0.299434632062912 -0.10625523328781128 -0.08179335296154022 -0.04019101709127426 -0.03729391098022461 0.058158207684755325 0.05371859669685364 -0.14959672093391418 0.036541908979415894 0.11046804487705231 0.09020485728979111 -0.003476642072200775 -0.11039196699857712 0.26938989758491516 0.076087586581707 -0.3107738494873047 -0.030532225966453552 0.08498276770114899 0.2729286253452301 0.26854854822158813 -0.05133107304573059 -0.0006143637001514435 -0.07669337093830109 0.1875552535057068 -0.280092716217041 0.03959718719124794 0.13197219371795654 0.15616662800312042 0.10692613571882248 0.07878623157739639 -0.2017534226179123 0.03669863939285278 0.16751527786254883 -0.2540012001991272 0.020965861156582832 -0.011965073645114899 -0.13338834047317505 -0.025485413148999214 -0.05315237492322922 0.18879766762256622 0.11755561828613281 -0.21587316691875458 -0.1361386477947235 0.19681896269321442 -0.21205204725265503 -0.02682644873857498 0.043848663568496704 -0.18927153944969177 -0.23588481545448303 -0.3421251177787781 -0.005186900496482849 0.3487941026687622 0.17010341584682465 -0.19985297322273254 0.07241155207157135 0.0007407627999782562 0.08333182334899902 -0.01269473135471344 0.1901334822177887 -0.04557346925139427 0.00924624502658844 -0.01712249405682087 -0.02598443627357483 0.1786699891090393 0.01820065826177597 -0.08125090599060059 0.2293689101934433 -0.05910167843103409 0.00879909098148346 0.0351809561252594 0.09176930785179138 -0.10583718866109848 -0.08368808776140213 -0.18074658513069153 -0.023035317659378052 -0.10478325188159943 0.027217809110879898 0.05199359357357025 0.11821973323822021 -0.15569908916950226 0.1596089005470276 -0.031378209590911865 -0.016586124897003174 -0.0715423971414566 0.07108522951602936 -0.11674224585294724 -0.07414546608924866 0.09676999598741531 -0.23357118666172028 0.18418002128601074 0.1785029172897339 0.006038960535079241 0.14965425431728363 0.06699706614017487 0.07033912092447281 -0.0001591891050338745 0.022448182106018066 -0.15803317725658417 -0.03838295862078667 0.06939215958118439 0.0021589845418930054 0.06728152930736542 0.0107521191239357
00033800.jpg,
00035530.jpg,
00035524.jpg,
