Filename,Encodings
00004882.jpg,-0.06686033308506012 0.08680184185504913 0.07444922626018524 -0.004137728363275528 -0.08898109197616577 -0.04064884036779404 -0.021981894969940186 -0.044844649732112885 0.07491108030080795 0.014407710172235966 0.2196880280971527 -0.04178035259246826 -0.2035265415906906 -0.036844830960035324 -0.00460284948348999 0.05937274545431137 -0.16750715672969818 -0.08293519169092178 -0.12233546376228333 -0.07616933435201645 0.0059582628309726715 -0.012211469933390617 0.009732887148857117 -0.0010522007942199707 -0.14783933758735657 -0.27933269739151 -0.09292912483215332 -0.025025624781847 0.08427658677101135 -0.08234165608882904 0.0085238516330719 0.0608697310090065 -0.17572668194770813 -0.0885656327009201 0.043064288794994354 0.0863008201122284 -0.03051435947418213 -0.07219674438238144 0.24674351513385773 0.013096177950501442 -0.17166748642921448 0.10577172040939331 0.038686662912368774 0.2780555486679077 0.2262406200170517 0.054272979497909546 -0.06786839663982391 -0.015041589736938477 0.14826178550720215 -0.2528805136680603 0.09197276085615158 0.24230587482452393 0.0682053193449974 0.013748787343502045 0.10543496906757355 -0.08958491683006287 -0.004714787006378174 0.15098309516906738 -0.17055048048496246 0.006863374263048172 0.03927353024482727 -0.0781160444021225 -0.005583971738815308 -0.15235215425491333 0.009918943047523499 0.117204949259758 -0.06849110126495361 -0.12142863869667053 0.12764014303684235 -0.15490402281284332 -0.07146835327148438 0.028424978256225586 -0.10693676769733429 -0.1458360254764557 -0.36311039328575134 0.07033589482307434 0.36717545986175537 0.1641237884759903 -0.18263787031173706 0.014634370803833008 0.04796900972723961 -0.04681174457073212 0.09545033425092697 0.05276179313659668 -0.12583200633525848 -0.03037162870168686 -0.09115616232156754 0.01702338457107544 0.1354457437992096 0.043270573019981384 -0.055972300469875336 0.181005597114563 -0.009026139974594116 0.037397682666778564 0.07985810935497284 0.03854677081108093 -0.09144044667482376 -0.05245235562324524 -0.19501012563705444 0.024897173047065735 0.07494161278009415 -0.10713893175125122 -0.00769495964050293 0.15072304010391235 -0.1424783319234848 0.08309359103441238 0.00018101930618286133 -0.019788188859820366 -0.02525104582309723 0.009186282753944397 -0.10429009050130844 0.0023807138204574585 0.16174736618995667 -0.22072289884090424 0.16424891352653503 0.18274468183517456 -0.05928092077374458 0.06201900914311409 0.15205632150173187 0.03433613479137421 -0.028497256338596344 0.028676122426986694 -0.14233455061912537 -0.1360522210597992 -0.009345971047878265 0.004964642226696014 0.047255560755729675 0.03560970723628998
00025657.jpg,-0.11703692376613617 -0.016218185424804688 0.045016948133707047 -0.16508767008781433 -0.12216449528932571 -0.06975183635950089 0.003852101042866707 -0.15973791480064392 0.11760763078927994 -0.1481335610151291 0.14424632489681244 -0.05850648134946823 -0.23793406784534454 -0.0037646517157554626 0.009122006595134735 0.15364477038383484 -0.09298495948314667 -0.10419811308383942 -0.08018772304058075 -0.048413485288619995 0.0024094823747873306 0.08103723078966141 0.012430213391780853 0.04381629824638367 -0.03978114575147629 -0.2857852578163147 -0.11252882331609726 -0.04251111298799515 -0.11776241660118103 0.0061921775341033936 0.04304537922143936 0.16330581903457642 -0.1802690625190735 0.02493627369403839 -0.008443422615528107 0.1283712089061737 -0.12133099138736725 -0.10920895636081696 0.21089419722557068 0.050415169447660446 -0.18748870491981506 -0.04557427763938904 0.07679788768291473 0.18870507180690765 0.14591830968856812 -0.08372166752815247 -0.003464600071310997 -0.028492599725723267 0.11877192556858063 -0.21355119347572327 -0.01953873597085476 0.1412772387266159 0.08633594959974289 0.0871167853474617 0.038235291838645935 -0.050936538726091385 0.10074779391288757 0.11342348903417587 -0.22440333664417267 -0.021915024146437645 0.07309246063232422 -0.16113661229610443 -0.049716249108314514 -0.06870002299547195 0.21288180351257324 0.16763055324554443 -0.093170665204525 -0.10708265751600266 0.19626091420650482 -0.11502926796674728 -0.13579308986663818 0.010820485651493073 -0.1778610348701477 -0.15719883143901825 -0.20548008382320404 0.024828597903251648 0.27500948309898376 0.08291815966367722 -0.12238803505897522 0.013576295226812363 -0.055290449410676956 -0.07903137803077698 0.03344292193651199 0.08222270011901855 0.01169024407863617 -0.04428194463253021 -0.048260387033224106 0.04262416064739227 0.231209397315979 -0.07884568721055984 0.0029401201754808426 0.24419210851192474 0.0388503260910511 0.0017549842596054077 0.0023141298443078995 0.0173659548163414 -0.023204945027828217 0.01937101036310196 -0.14424791932106018 0.04586287587881088 0.013562910258769989 -0.12189757078886032 -0.01666848361492157 0.10888580977916718 -0.16793492436408997 0.18161435425281525 0.014411866664886475 -0.046552516520023346 -0.03346464782953262 -0.05525851249694824 -0.08763591945171356 -0.03487807512283325 0.09626928716897964 -0.1557190716266632 0.19252744317054749 0.1157853826880455 0.0049152737483382225 0.11475294828414917 0.008760124444961548 0.08914504200220108 -0.020281046628952026 -0.061768896877765656 -0.19222941994667053 -0.09734337031841278 0.12178346514701843 0.08959212154150009 -0.009870469570159912 0.0822727382183075
00003690.jpg,-0.13376447558403015 0.09175813943147659 0.05438254773616791 -0.1334308236837387 -0.1549084484577179 0.055842794477939606 -0.02512918971478939 -0.11480247229337692 0.14755237102508545 -0.1061515063047409 0.1853455901145935 0.004982734099030495 -0.32005587220191956 0.035268738865852356 0.018693670630455017 0.10506090521812439 -0.1276855766773224 -0.16805244982242584 -0.03552066907286644 0.007757812738418579 -0.026199951767921448 0.024321379140019417 0.02956891804933548 0.024211451411247253 -0.1018013060092926 -0.28115856647491455 -0.05099404603242874 -0.06779946386814117 -0.040589839220047 0.0019594430923461914 0.03562198579311371 0.055453598499298096 -0.19422239065170288 0.045183245092630386 0.06227687746286392 0.1188526302576065 -0.0862005203962326 -0.08716987073421478 0.20521067082881927 -0.058852892369031906 -0.18947480618953705 -0.06498946249485016 0.018541045486927032 0.1732344776391983 0.237473264336586 -0.026855098083615303 0.029599923640489578 -0.16390986740589142 0.09632495045661926 -0.3128108084201813 0.12355369329452515 0.13810321688652039 0.00027540093287825584 0.031887032091617584 0.09324238449335098 -0.22259929776191711 0.037901878356933594 0.1772237867116928 -0.1669009029865265 0.007373642176389694 0.08219940215349197 -0.08160068094730377 -0.007347431965172291 -0.10270760953426361 0.28910285234451294 0.09971819818019867 -0.14409297704696655 -0.16727876663208008 0.21571040153503418 -0.10611662268638611 -0.029986243695020676 0.13462020456790924 -0.11954867094755173 -0.20558995008468628 -0.19710254669189453 0.07243797183036804 0.3928528130054474 0.19448716938495636 -0.154903382062912 0.06292632222175598 -0.12479750066995621 -0.014551125466823578 0.058436647057533264 0.08156479895114899 0.01702091097831726 -0.11927757412195206 -0.11560262739658356 -0.005121305584907532 0.22253920137882233 -0.03685000538825989 -0.017024129629135132 0.2491074502468109 9.656697511672974e-05 -0.02498330920934677 0.035937923938035965 0.04296386241912842 -0.09631063044071198 -0.002815715968608856 -0.16094255447387695 -0.0572563037276268 -0.04041457176208496 -0.047552648931741714 -0.0038628727197647095 0.17607350647449493 -0.1681765615940094 0.13088250160217285 -0.06545901298522949 -0.014746278524398804 -0.0059548020362854 -0.12937578558921814 -0.010364644229412079 -0.01953275501728058 0.1305883824825287 -0.3396613597869873 0.18140465021133423 0.04270544275641441 0.02867387980222702 0.1943863332271576 0.04427723214030266 0.10891400277614594 0.03578878194093704 -0.06576510518789291 -0.22452428936958313 -0.0281137153506279 0.06608802825212479 0.019374161958694458 0.0485745370388031 0.07570405304431915
00015780.jpg,-0.1391361951828003 -0.06621105968952179 0.07262154668569565 -0.10429111123085022 -0.12181243300437927 -0.0700690969824791 0.014531683176755905 -0.10763398557901382 0.03421449661254883 -0.12927168607711792 0.14231804013252258 -0.03228375315666199 -0.24747851490974426 -0.03825240954756737 0.01710052788257599 0.1495150923728943 -0.02333284169435501 -0.1367548555135727 -0.09151875227689743 -0.0792146697640419 0.00264936126768589 0.06708437204360962 -0.00011092424392700195 0.033521682024002075 -0.06589214503765106 -0.28075599670410156 -0.08420193940401077 -0.05295202136039734 -0.05674950033426285 0.0073531270027160645 -0.012518879026174545 0.15001025795936584 -0.16330978274345398 0.04341898113489151 0.0324881374835968 0.14554989337921143 -0.10652987658977509 -0.11756473779678345 0.1722780019044876 0.0240989588201046 -0.1788042187690735 -0.05377855896949768 0.0578005425632 0.18432193994522095 0.13151323795318604 -0.062417659908533096 0.024649454280734062 0.018914461135864258 0.12229183316230774 -0.2799142301082611 0.005506996996700764 0.11899028718471527 0.09930319339036942 0.06244411692023277 0.12903670966625214 -0.11724704504013062 0.08513087034225464 0.1340579390525818 -0.22227931022644043 0.005114737898111343 -0.047639161348342896 -0.10576073825359344 -0.04793507233262062 -0.12475019693374634 0.19401594996452332 0.1476580798625946 -0.12208119034767151 -0.060082562267780304 0.19208495318889618 -0.10140332579612732 -0.0558721125125885 0.06569739431142807 -0.1688568890094757 -0.18402567505836487 -0.18513241410255432 0.06071442365646362 0.34056201577186584 0.15879112482070923 -0.13451513648033142 0.04478931799530983 -0.011412931606173515 -0.044941291213035583 0.03848114609718323 0.03156895935535431 -0.024233806878328323 -0.009067684412002563 -0.0668463334441185 0.030759945511817932 0.17242537438869476 -0.052303194999694824 -0.027155879884958267 0.19089484214782715 -0.007596541196107864 0.021060749888420105 0.017897553741931915 0.021934092044830322 -0.039788611233234406 -0.03299182653427124 -0.10348711162805557 -0.008286707103252411 0.0393504798412323 -0.1609921008348465 -0.006888546049594879 0.07726782560348511 -0.12930507957935333 0.1410979926586151 -0.021946698427200317 -0.015079841017723083 -0.05870482325553894 -0.025171741843223572 -0.0870528519153595 0.03173379600048065 0.04965362325310707 -0.21920937299728394 0.2054852992296219 0.13476082682609558 -0.05303540825843811 0.1339205801486969 0.015168420970439911 0.0338846892118454 -0.02482595294713974 -0.07771819084882736 -0.13991346955299377 -0.14100560545921326 0.1294235736131668 0.04787515848875046 0.014423444867134094 0.0551452711224556
00024950.jpg,-0.043718114495277405 0.045368991792201996 0.09001296758651733 -0.11341418325901031 -0.12210918962955475 0.010018020868301392 -0.06329597532749176 -0.13478153944015503 0.2706785500049591 -0.12970781326293945 0.15934352576732635 0.0406188927590847 -0.2862365245819092 -0.03417529910802841 0.04520682245492935 0.13685816526412964 -0.16387435793876648 -0.16248516738414764 -0.07466687262058258 -0.101984404027462 -0.03469155728816986 0.028926558792591095 0.09283397346735 0.08305668085813522 -0.14616361260414124 -0.4003233015537262 -0.0642656534910202 -0.04507637023925781 -0.016762571409344673 -0.03589309751987457 0.015381291508674622 0.13393914699554443 -0.16666018962860107 0.052644647657871246 0.02693423628807068 0.1186143234372139 -0.12508141994476318 -0.11979538202285767 0.17941796779632568 0.052469778805971146 -0.22057241201400757 0.03967083990573883 -0.03754153847694397 0.1746249496936798 0.27447763085365295 -0.03384406864643097 0.08588835597038269 -0.1366334855556488 0.2043386548757553 -0.30521321296691895 0.03940948471426964 0.21982643008232117 0.0027472367510199547 0.007426038384437561 0.09561105072498322 -0.18208818137645721 -0.02945736050605774 0.10227392613887787 -0.23003855347633362 0.006142491474747658 0.07708829641342163 -0.11602915823459625 -0.11470385640859604 -0.10673438012599945 0.14810803532600403 0.1753733605146408 -0.1716771125793457 -0.19871027767658234 0.1736215204000473 -0.17178292572498322 -0.0186014324426651 0.1300114095211029 -0.15267017483711243 -0.2091144621372223 -0.22175392508506775 0.05097995698451996 0.42095744609832764 0.11766180396080017 -0.09180305153131485 0.05381186306476593 -0.12689703702926636 0.017057396471500397 -0.07972994446754456 0.10283675789833069 -0.07166581600904465 -0.045963041484355927 -0.0791001096367836 0.04861694574356079 0.1362808644771576 -0.007306680083274841 -0.021180935204029083 0.3038962185382843 0.02237188071012497 0.0756102055311203 0.00795043259859085 0.08520995080471039 -0.14875170588493347 0.008389096707105637 -0.148763969540596 -0.04479628801345825 -0.0036995038390159607 -0.04725393280386925 0.048997826874256134 0.019671395421028137 -0.1742720752954483 0.2625665068626404 -0.04020196944475174 0.010481264442205429 0.03455483913421631 -0.046185851097106934 -0.09422184526920319 -0.012521550059318542 0.13962741196155548 -0.36238330602645874 0.1558443009853363 0.1260147988796234 0.12313561886548996 0.20017895102500916 0.04358730465173721 0.08225060254335403 -0.02053728699684143 -0.062328651547431946 -0.138093963265419 -0.044279586523771286 -0.0024550631642341614 0.011233009397983551 -0.019918203353881836 0.04972756654024124
00005785.jpg,
00007192.jpg,-0.18468664586544037 0.08006174862384796 0.017754802480340004 0.006536775268614292 -0.2479221373796463 -0.045170463621616364 0.07116390019655228 -0.11136835068464279 0.13681495189666748 -0.04173476994037628 0.12207295000553131 -0.0005738865584135056 -0.2652359902858734 0.008219484239816666 -0.005047634243965149 0.13508671522140503 -0.0778706893324852 -0.14967013895511627 -0.142950639128685 -0.05047693848609924 -0.04079195484519005 0.05599589645862579 -0.012814495712518692 -0.016577042639255524 -0.05284692347049713 -0.325875848531723 -0.051147498190402985 -0.018326997756958008 0.08524735271930695 -0.0295269638299942 0.006034876219928265 0.1492728888988495 -0.21835628151893616 -0.046439506113529205 0.07521791756153107 0.08226793259382248 -0.1040402501821518 -0.05316026508808136 0.23945209383964539 0.007416449952870607 -0.25479328632354736 -0.05326785147190094 0.13448084890842438 0.21240359544754028 0.14217782020568848 -0.0405689962208271 0.008021391928195953 -0.07595671713352203 0.11233873665332794 -0.23755721747875214 0.03186928108334541 0.14330995082855225 0.18065005540847778 0.07706142961978912 0.03944922238588333 -0.187778502702713 0.012659668922424316 0.1261383593082428 -0.2176675945520401 0.02840818092226982 0.10541318356990814 -0.13595795631408691 -0.16094738245010376 -0.07886853069067001 0.21414485573768616 0.14559027552604675 -0.09527997672557831 -0.14400599896907806 0.17727819085121155 -0.16257257759571075 -0.034683749079704285 0.093894824385643 -0.05162746086716652 -0.14595668017864227 -0.2440091073513031 0.05268217623233795 0.35891783237457275 0.11059608310461044 -0.1518537998199463 -0.04311139136552811 -0.0648740753531456 -0.013951830565929413 -0.005287930369377136 0.03208214044570923 -0.17970354855060577 -0.04412928223609924 -0.08795160055160522 0.009726539254188538 0.2092653065919876 -0.015515096485614777 0.007334060966968536 0.19439616799354553 0.08586136996746063 -0.0024704858660697937 -0.006217997521162033 0.05595947057008743 -0.08289647102355957 -0.10258769989013672 -0.12270958721637726 -0.07039216160774231 0.09139212965965271 -0.17277008295059204 0.021837696433067322 0.12399658560752869 -0.2155987024307251 0.1465303897857666 -0.011179819703102112 -0.007732123136520386 0.018200770020484924 -0.06754931807518005 -0.045970506966114044 -0.004478916525840759 0.0995234027504921 -0.21876928210258484 0.2579144537448883 0.0995071679353714 -0.07206875085830688 0.14351242780685425 0.0713200569152832 0.056629814207553864 -0.031156688928604126 -0.05908287316560745 -0.09491376578807831 -0.1267153024673462 0.12563326954841614 -0.04313039779663086 0.021943792700767517 0.03328952193260193
00013736.jpg,
00026941.jpg,-0.15289904177188873 0.06112564355134964 0.145015686750412 -0.016478966921567917 -0.1552886962890625 -0.015128403902053833 -0.024326063692569733 -0.1098167672753334 0.13647350668907166 -0.16346856951713562 0.14280061423778534 -0.021234212443232536 -0.1613360345363617 0.1758911907672882 -0.02598625421524048 0.1984388828277588 -0.17637167870998383 -0.13930535316467285 -0.07130110263824463 -0.15120477974414825 -0.051022544503211975 0.075111024081707 -0.006261676549911499 0.04129704087972641 -0.184971883893013 -0.2669551968574524 -0.09508511424064636 -0.01631198823451996 0.059533800929784775 -0.014617443084716797 -0.04076463356614113 0.025026336312294006 -0.172607421875 0.03135606274008751 0.0940319076180458 0.09243296086788177 -0.07122143357992172 -0.08565151691436768 0.2096545398235321 0.028495587408542633 -0.24837219715118408 -0.011194571852684021 0.11065995693206787 0.275831401348114 0.2066914141178131 0.011435231193900108 -0.028184009715914726 -0.11307841539382935 0.12562566995620728 -0.2695850133895874 0.08740448951721191 0.12954767048358917 0.11204588413238525 0.09884534776210785 -0.01505209505558014 -0.14241205155849457 0.005492836236953735 0.11932207643985748 -0.1729845404624939 0.005419440567493439 0.13479864597320557 -0.08930262923240662 -0.029119398444890976 -0.054618410766124725 0.18563462793827057 0.1544175148010254 -0.15657725930213928 -0.1519729197025299 0.1662249118089676 -0.1681252419948578 -0.05267536640167236 0.022241298109292984 -0.07475987076759338 -0.19009681046009064 -0.28836700320243835 0.018215835094451904 0.40046584606170654 0.12168899178504944 -0.14101682603359222 -0.01249857246875763 -0.044889383018016815 -0.0035531744360923767 0.02798561006784439 0.14318686723709106 -0.1068195104598999 -0.04215057194232941 -0.017038114368915558 0.0633145421743393 0.22140517830848694 -0.053253352642059326 -0.018851570785045624 0.1758456528186798 0.03382980450987816 -0.03671713173389435 0.0017252375837415457 0.1903487741947174 -0.17811478674411774 -0.019875239580869675 -0.15750008821487427 -0.0448332354426384 0.0111931711435318 0.010979636572301388 0.029432743787765503 0.1926926076412201 -0.2748613655567169 0.30212247371673584 -0.03279133141040802 -0.08581755310297012 0.01070268452167511 0.008316516876220703 -0.06765354424715042 -0.044624701142311096 0.1336296796798706 -0.22200541198253632 0.10917982459068298 0.2013222873210907 -0.0386662520468235 0.18801303207874298 0.06665128469467163 0.06121581792831421 0.010070830583572388 0.016001716256141663 -0.17898766696453094 -0.09631434082984924 0.04372917115688324 -0.06922854483127594 0.023894771933555603 0.06763677299022675
00005168.jpg,-0.03404151648283005 0.03217647224664688 0.020929940044879913 -0.060555100440979004 -0.03113676607608795 -0.03682037442922592 0.020031988620758057 -0.06954225152730942 0.11543147265911102 -0.0018961317837238312 0.22961696982383728 -0.07298644632101059 -0.24981480836868286 -0.041549377143383026 -0.021527938544750214 0.09393433481454849 -0.17937898635864258 -0.011683769524097443 -0.1351778209209442 -0.10860762745141983 0.009775348007678986 -0.0021352553740143776 0.15487752854824066 0.08519849926233292 -0.18868297338485718 -0.27901971340179443 -0.09160473942756653 -0.1006665751338005 0.04378391429781914 -0.10843206942081451 -0.004324615001678467 0.03649735450744629 -0.09654173254966736 -0.031119778752326965 -0.007061809301376343 0.018182307481765747 -0.10412631928920746 -0.10524767637252808 0.2873963713645935 0.05390163138508797 -0.11318568885326385 0.09222862124443054 0.02298496663570404 0.3449130356311798 0.24800525605678558 0.027885228395462036 0.01289309747517109 -0.030702993273735046 0.10713628679513931 -0.3117545545101166 0.13344329595565796 0.11065000295639038 0.11522185057401657 0.0014831945300102234 0.11518635600805283 -0.11261783540248871 -0.03387710452079773 0.20582227408885956 -0.19086743891239166 0.10333652794361115 0.019541464745998383 -0.014691784977912903 0.020766669884324074 -0.09525122493505478 0.15759292244911194 0.16172656416893005 -0.13236397504806519 -0.07230578362941742 0.10638052225112915 -0.1528492271900177 -0.047374844551086426 0.034843143075704575 -0.12647590041160583 -0.21018844842910767 -0.3080342411994934 0.06495526432991028 0.2945766746997833 0.18279850482940674 -0.17438137531280518 -0.03405337035655975 -0.056587882339954376 -0.00044000521302223206 0.06198529899120331 0.012151822447776794 -0.16493944823741913 -0.05556817352771759 -0.10521608591079712 0.010867834091186523 0.14419220387935638 -0.05367375910282135 -0.1073635146021843 0.27058130502700806 0.034419044852256775 -0.025659754872322083 0.03979762643575668 -0.032679371535778046 -0.14297786355018616 0.007109105587005615 -0.1945527046918869 0.013385698199272156 0.050381168723106384 -0.11816603690385818 0.04638539254665375 0.08409691601991653 -0.22116124629974365 0.13677814602851868 -6.341934204101562e-05 -0.0978083685040474 0.010065168142318726 0.015954598784446716 -0.20288142561912537 -0.010855615139007568 0.2030072808265686 -0.28746160864830017 0.13931390643119812 0.22360986471176147 0.13799554109573364 0.12058945745229721 0.11896205693483353 0.0014655739068984985 0.01320311427116394 0.08683523535728455 -0.09223932772874832 -0.0045493002980947495 0.07599017024040222 0.009731896221637726 0.0782562643289566 0.07356007397174835
